1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.399634	0.000000	9.794281	0.015383	5388.6
1	-0.383672	0.000000	9.794281	0.010357	18.6
2	-0.388162	0.000000	9.794281	0.016590	15.1
3	-0.380695	0.000000	9.794281	0.012710	19.3
4	-0.392210	0.999902	9.349128	0.013714	17.0
5	-0.396862	0.236905	9.685022	0.016887	16.2
6	-0.403922	1.236685	9.249575	0.011484	15.2
7	-0.380817	2.231326	8.853558	0.012316	14.4
8	-0.394737	1.585243	9.106827	0.014470	11.5
9	-0.396243	2.402793	8.788690	0.012586	12.2
10	-0.386474	1.583503	9.107528	0.012966	16.0
11	-0.392704	0.763621	9.450628	0.009190	17.4
12	-0.385331	1.526857	9.130430	0.020343	13.2
13	-0.394724	2.111526	8.899451	0.020640	14.0
14	-0.398830	1.292638	9.226359	0.015586	13.2
15	-0.392206	2.292638	8.830253	0.013356	13.8
16	-0.388100	1.476963	9.150697	0.010238	19.0
17	-0.392788	2.476902	8.760947	0.015344	10.3
18	-0.382723	3.062592	8.547703	0.006419	14.6
19	-0.387779	2.278522	8.835608	0.014972	17.2
20	-0.393033	1.459089	9.157980	0.014647	15.1
21	-0.383600	2.459085	8.767601	0.007355	14.9
22	-0.393605	1.650872	9.080440	0.010398	13.6
23	-0.394133	2.323875	8.818427	0.012280	15.4
24	-0.398878	3.165905	8.511160	0.012615	14.8
25	-0.379556	2.346148	8.810014	0.010271	10.7
26	-0.387919	3.318753	8.457666	0.009561	13.8
27	-0.387292	2.500743	8.752059	0.014250	11.6
28	-0.392774	1.689889	9.064826	0.013221	11.5
29	-0.389078	0.869953	9.404679	0.010902	15.6
30	-0.387529	1.808384	9.017732	0.013511	24.3
31	-0.398645	2.803242	8.640835	0.009597	22.1
32	-0.390832	3.612112	8.356857	0.008819	20.7
33	-0.396739	2.795724	8.643565	0.012552	15.0
34	-0.389060	3.777132	8.301198	0.014250	13.0
35	-0.389266	4.777130	7.979162	0.011159	13.0
36	-0.393981	3.962045	8.239705	0.011528	15.4
37	-0.389740	3.143286	8.519134	0.010947	12.9
38	-0.396873	4.090640	8.197475	0.011680	11.5
39	-0.388440	3.270882	8.474348	0.009678	11.9
40	-0.382522	3.290076	8.467651	0.010495	15.7
41	-0.392272	3.849032	8.277179	0.006813	14.4
42	-0.387385	3.236639	8.486321	0.014247	12.3
43	-0.394896	2.538393	8.738060	0.011982	16.8
44	-0.400088	1.718469	9.053422	0.012038	16.6
45	-0.381752	2.716557	8.672418	0.008915	14.8
46	-0.386050	1.899954	8.981673	0.015014	15.6
47	-0.397946	1.153977	9.284107	0.013006	13.8
48	-0.390509	0.919815	9.383286	0.007837	18.2
49	-0.390256	1.904395	8.979931	0.014529	10.2
50	-0.400701	1.133687	9.292618	0.017953	14.3
51	-0.392487	1.982011	8.949604	0.012517	15.8
52	-0.403545	1.162073	9.280716	0.013679	14.3
53	-0.407276	0.496083	9.568250	0.013313	17.4
54	-0.395209	1.496064	9.142928	0.015817	14.0
55	-0.391269	2.269664	8.838971	0.020570	18.3
56	-0.385811	3.269664	8.474773	0.012158	16.0
57	-0.393805	2.449725	8.771100	0.009360	14.0
58	-0.396370	3.449620	8.412396	0.013111	16.6
59	-0.400454	4.449576	8.081859	0.012237	17.7
60	-0.387865	5.449325	7.776376	0.012067	16.8
61	-0.390985	6.087703	7.593110	0.010402	13.6
62	-0.395059	5.706395	7.701522	0.012339	17.7
63	-0.400047	5.479173	7.767610	0.013480	12.6
64	-0.385907	6.439755	7.495690	0.011339	14.6
65	-0.395313	5.815266	7.670254	0.014083	15.2
66	-0.401235	5.011817	7.907171	0.014421	28.4
67	-0.403638	4.265227	8.140829	0.013214	23.5
68	-0.393307	5.265226	7.830882	0.013466	27.3
69	-0.386792	4.473279	8.074339	0.011334	11.9
70	-0.397196	3.654323	8.342549	0.010653	14.2
71	-0.391211	4.590675	8.037299	0.008578	12.1
72	-0.388620	4.491760	8.068485	0.006648	12.9
73	-0.382321	4.965790	7.921188	0.012651	14.8
74	-0.389043	5.196971	7.851285	0.013687	21.2
75	-0.389709	6.196436	7.562752	0.014549	10.8
76	-0.385263	5.382892	7.795957	0.009220	10.9
77	-0.393040	5.680231	7.709075	0.009518	16.1
78	-0.387758	6.280749	7.539379	0.013805	14.6
79	-0.386208	7.267735	7.276136	0.006069	11.0
