1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.787035	0.000000	13.712387	0.021259	88.4
1	-0.791080	0.000000	13.712387	0.021483	9.0
2	-0.804902	0.000000	13.712387	0.031505	8.4
3	-0.806253	0.000000	13.712387	0.031810	7.8
4	-0.821422	1.000000	13.089097	0.029899	10.0
5	-0.800063	2.000000	12.520006	0.042035	8.2
6	-0.805983	3.000000	11.998339	0.042384	7.0
7	-0.816371	4.000000	11.518405	0.042452	9.3
8	-0.813642	5.000000	11.075390	0.041177	23.5
9	-0.820489	6.000000	10.665190	0.041200	13.8
10	-0.817821	7.000000	10.284291	0.051710	8.5
11	-0.817494	8.000000	9.929660	0.065339	7.4
12	-0.824592	9.000000	9.598671	0.037487	7.3
13	-0.834823	10.000000	9.289037	0.038895	9.5
14	-0.829606	9.895143	9.320563	0.032711	8.0
15	-0.834609	10.895143	9.028338	0.045339	6.9
16	-0.839244	11.895143	8.753880	0.055003	7.9
17	-0.832777	12.895143	8.495617	0.053374	6.7
18	-0.832346	13.895143	8.252155	0.061320	7.3
19	-0.824250	14.895143	8.022259	0.064246	14.5
20	-0.819326	15.895143	7.804825	0.047639	11.8
21	-0.839393	16.895143	7.598867	0.038013	10.4
22	-0.824995	17.895143	7.403499	0.046522	10.5
23	-0.829561	18.895143	7.217925	0.052512	11.3
24	-0.836312	19.895143	7.041426	0.058346	12.2
25	-0.823463	20.895143	6.873354	0.059117	11.3
26	-0.830812	21.895143	6.713118	0.059760	12.1
27	-0.829539	22.895143	6.560182	0.057636	7.1
28	-0.827284	23.895143	6.414060	0.049056	6.4
29	-0.845562	24.895143	6.274305	0.044304	11.1
30	-0.835447	25.895143	6.140511	0.047240	7.5
31	-0.840134	26.895143	6.012304	0.053427	9.7
32	-0.834742	27.895143	5.889340	0.048685	11.7
33	-0.844406	28.895143	5.771306	0.044191	14.3
34	-0.831524	29.895143	5.657910	0.048516	9.7
35	-0.832861	30.895143	5.548884	0.051994	8.2
36	-0.826470	31.895143	5.443981	0.056438	6.9
37	-0.820752	32.895143	5.342970	0.058675	9.8
38	-0.838973	33.895143	5.245640	0.047705	8.4
39	-0.839117	34.895143	5.151792	0.035954	10.8
40	-0.826857	35.895143	5.061243	0.039291	8.7
41	-0.834482	36.895143	4.973822	0.046456	11.9
42	-0.840395	37.895143	4.889370	0.041246	10.1
43	-0.838416	38.895143	4.807738	0.041942	11.6
44	-0.837485	39.895143	4.728787	0.040322	10.0
45	-0.836292	40.895143	4.652387	0.040591	7.7
46	-0.834888	41.895143	4.578416	0.039792	8.6
47	-0.832818	42.895143	4.506761	0.045877	9.1
48	-0.838977	43.895143	4.437314	0.044992	10.9
49	-0.846535	44.895143	4.369975	0.045367	10.4
50	-0.832314	45.895143	4.304649	0.043671	9.8
51	-0.839938	46.895143	4.241248	0.039051	9.8
52	-0.839562	47.895143	4.179687	0.043480	13.9
53	-0.847410	48.895143	4.119888	0.044502	9.1
54	-0.840905	49.895143	4.061775	0.040943	11.7
55	-0.837047	50.895143	4.005279	0.035375	8.4
56	-0.839922	51.895143	3.950334	0.030483	10.6
57	-0.837777	52.895143	3.896875	0.038077	8.8
58	-0.844529	53.895143	3.844844	0.038333	8.9
59	-0.843870	54.895143	3.794184	0.034194	10.3
60	-0.843099	55.895143	3.744842	0.039910	15.2
61	-0.839531	56.895143	3.696766	0.039985	11.4
62	-0.835357	57.895143	3.649910	0.043901	12.6
63	-0.833919	58.895143	3.604226	0.040495	11.0
64	-0.848223	59.895143	3.559672	0.035416	10.7
65	-0.835103	60.895143	3.516205	0.035925	16.7
66	-0.835179	61.895143	3.473788	0.035346	12.3
67	-0.844016	62.895143	3.432382	0.039052	12.4
68	-0.837817	63.895143	3.391951	0.033882	19.6
69	-0.844183	64.895143	3.352461	0.024585	10.8
70	-0.840333	65.895143	3.313881	0.027388	11.2
71	-0.837037	66.895143	3.276178	0.036619	16.6
72	-0.844457	67.895143	3.239324	0.037956	13.0
73	-0.844929	68.895143	3.203289	0.016762	12.4
74	-0.842642	69.895143	3.168048	0.010154	10.6
75	-0.833475	69.790286	3.171706	0.009646	11.8
76	-0.836339	70.790286	3.137153	0.014594	11.2
77	-0.838762	71.333193	3.118707	0.019635	11.2
78	-0.837964	72.333193	3.085292	0.021453	8.7
79	-0.844100	73.333193	3.052585	0.021103	11.0
80	-0.847836	74.333193	3.020565	0.011610	8.3
81	-0.834343	75.333193	2.989210	0.015425	10.5
82	-0.844425	76.333193	2.958499	0.023676	12.1
83	-0.849995	77.333193	2.928412	0.019968	13.0
