1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.553559	0.000000	3.561486	0.037413	4996.4
1	-0.592573	0.000000	3.561486	0.037593	7.9
2	-0.571340	0.000000	3.561486	0.041751	8.5
3	-0.567999	0.000000	3.561486	0.040650	7.8
4	-0.574235	1.000000	3.399601	0.032025	8.3
5	-0.577915	0.177502	3.531635	0.051277	8.4
6	-0.568252	0.000000	3.561486	0.046997	7.9
7	-0.573794	1.000000	3.399601	0.035707	7.9
8	-0.581150	0.296972	3.511824	0.037837	7.7
9	-0.582597	0.000000	3.561486	0.042808	8.7
10	-0.601956	0.000000	3.561486	0.083217	7.8
11	-0.565302	0.000000	3.561486	0.042072	7.5
12	-0.583201	0.000000	3.561486	0.036149	7.1
13	-0.582127	1.000000	3.399601	0.047973	7.6
14	-0.599170	0.139024	3.538064	0.045683	6.8
15	-0.568254	1.087003	3.386209	0.059941	7.9
16	-0.585091	2.086999	3.239538	0.053154	7.3
17	-0.585469	2.836407	3.137688	0.021128	7.3
18	-0.592718	2.109771	3.236346	0.036103	7.0
19	-0.584329	3.091754	3.104432	0.032545	7.3
20	-0.562890	3.153824	3.096454	0.056451	7.7
21	-0.593494	2.293471	3.210823	0.050836	7.9
22	-0.601075	1.431955	3.334137	0.017349	7.8
23	-0.570852	0.737670	3.440627	0.031690	8.7
24	-0.593696	0.886568	3.417220	0.038059	8.3
25	-0.570024	0.039689	3.554768	0.054145	8.1
26	-0.596472	1.032440	3.394595	0.030054	8.2
27	-0.576920	0.170936	3.532731	0.039703	8.3
28	-0.573386	1.170928	3.373391	0.055440	8.9
29	-0.586579	0.309407	3.509775	0.035798	8.1
30	-0.579337	1.243831	3.362335	0.031903	8.1
31	-0.572039	0.382304	3.497809	0.032694	9.5
32	-0.593299	0.000000	3.561486	0.038848	9.6
33	-0.598863	0.000000	3.561486	0.018911	9.1
34	-0.594126	0.000000	3.561486	0.032058	8.9
35	-0.584730	0.000000	3.561486	0.051053	8.3
36	-0.572587	0.000000	3.561486	0.040631	8.5
37	-0.570323	0.999992	3.399602	0.031402	8.9
