1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
0	-0.673295	-0.673302	0.000001	0.000000	869.153186	0.005238	0.000000	0.005237	67.9	139.9	3914.4
1	-0.697705	-0.697712	0.000001	0.000000	869.153186	0.004511	0.000000	0.004511	104.4	98.1	205.7
2	-0.686195	-0.686202	0.000001	0.000000	869.153186	0.005380	0.000000	0.005380	65.1	112.6	179.3
3	-0.696920	-0.696928	0.000002	0.000000	869.153186	0.004473	0.000000	0.004473	91.0	144.5	237.1
4	-0.697884	-0.697892	0.000002	0.000000	869.153186	0.003509	0.000000	0.003509	81.2	168.1	250.8
5	-0.697103	-0.697111	0.000002	0.000000	869.153186	0.004683	0.000000	0.004683	62.0	171.4	235.6
6	-0.698560	-0.698569	0.000002	0.997417	829.743634	0.004042	0.000000	0.004042	43.1	119.0	163.7
7	-0.696190	-0.696199	0.000002	0.238321	859.400169	0.004404	0.000000	0.004404	71.5	108.9	182.1
8	-0.704046	-0.704055	0.000002	0.000000	869.153186	0.004169	0.000000	0.004169	76.4	106.6	184.9
9	-0.687281	-0.687290	0.000002	0.000000	869.153186	0.003716	0.000000	0.003716	85.5	116.2	203.5
10	-0.710185	-0.710195	0.000002	0.000000	869.153186	0.005099	0.000000	0.005099	108.4	111.5	222.9
11	-0.703551	-0.703561	0.000002	0.000000	869.153186	0.003816	0.000000	0.003816	74.3	120.1	196.0
12	-0.697896	-0.697906	0.000002	0.000000	869.153186	0.003459	0.000000	0.003459	67.2	144.9	213.8
13	-0.720247	-0.720258	0.000002	0.000000	869.153186	0.005534	0.000000	0.005534	58.8	140.4	200.8
14	-0.702078	-0.702089	0.000002	0.999998	829.646310	0.003578	0.000000	0.003578	79.0	113.5	194.3
15	-0.701635	-0.701647	0.000002	1.999969	793.575722	0.003895	0.000000	0.003895	64.4	137.4	203.6
16	-0.715127	-0.715138	0.000002	2.812460	766.498590	0.004638	0.000000	0.004638	45.2	121.1	167.8
17	-0.707610	-0.707622	0.000002	2.053934	791.718096	0.003734	0.000000	0.003734	82.5	112.4	199.2
18	-0.699056	-0.699068	0.000002	1.294749	818.677840	0.004785	0.000000	0.004785	118.0	90.7	210.3
19	-0.714718	-0.714731	0.000003	0.535564	847.538392	0.004920	0.000000	0.004920	95.3	123.4	220.6
20	-0.716329	-0.716342	0.000003	1.518602	810.539532	0.003489	0.000000	0.003489	71.9	87.6	161.2
21	-0.707424	-0.707437	0.000003	2.518601	776.075784	0.003826	0.000000	0.003826	73.8	159.9	235.6
22	-0.699786	-0.699799	0.000003	1.826841	799.594514	0.005121	0.000000	0.005121	108.8	146.8	257.4
23	-0.702238	-0.702251	0.000003	2.826841	766.035952	0.004132	0.000000	0.004132	64.6	143.7	211.4
24	-0.705357	-0.705370	0.000003	3.826839	735.180867	0.004276	0.000000	0.004276	54.3	151.9	207.9
25	-0.707722	-0.707736	0.000003	4.826839	706.715097	0.004215	0.000000	0.004215	54.9	123.3	179.8
26	-0.719393	-0.719407	0.000003	5.826839	680.371513	0.003811	0.000000	0.003811	46.4	140.1	188.1
27	-0.716011	-0.716025	0.000003	6.823503	655.999955	0.004800	0.000000	0.004800	74.1	133.5	209.1
28	-0.714906	-0.714920	0.000003	7.823500	633.240816	0.004588	0.000000	0.004588	63.3	123.8	188.8
29	-0.707296	-0.707310	0.000003	8.823500	612.007876	0.004030	0.000000	0.004030	80.9	120.0	202.4
30	-0.716259	-0.716274	0.000003	9.823497	592.152689	0.003362	0.000000	0.003362	65.2	177.0	243.6
31	-0.704473	-0.704488	0.000003	9.064312	607.105756	0.003210	0.000000	0.003210	67.6	131.6	200.8
32	-0.694584	-0.694599	0.000003	10.064312	587.562250	0.004406	0.000000	0.004406	79.2	154.3	236.3
33	-0.720149	-0.720164	0.000003	9.307702	602.230318	0.004726	0.000000	0.004726	43.8	119.3	164.8
