1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.601358	0.000000	5.538341	0.026596	541.4
1	-0.615144	0.000000	5.538341	0.027863	6.5
2	-0.613621	0.997338	5.287238	0.010401	7.0
3	-0.612075	1.991782	5.058553	0.014988	6.6
4	-0.590237	1.709918	5.121338	0.007088	6.7
5	-0.609698	2.386216	4.973235	0.016939	6.4
6	-0.631073	3.309441	4.784362	0.019377	6.7
7	-0.610075	2.408207	4.968563	0.013825	6.3
8	-0.610339	3.407817	4.765078	0.019395	7.2
9	-0.605789	2.512088	4.946611	0.023780	6.2
10	-0.608818	3.511879	4.744849	0.033496	6.4
11	-0.612253	4.392169	4.580355	0.014652	6.6
12	-0.611775	3.492487	4.748605	0.018166	7.0
13	-0.628485	2.622807	4.923426	0.012017	6.7
14	-0.596204	1.778842	5.105841	0.015556	6.4
15	-0.604256	0.880042	5.315582	0.014397	6.4
16	-0.604484	0.695661	5.360756	0.018599	7.1
17	-0.598523	0.000000	5.538341	0.031145	6.4
18	-0.614171	0.000000	5.538341	0.015742	6.3
19	-0.611712	0.792726	5.336880	0.024935	6.6
20	-0.607625	0.355325	5.446190	0.011543	6.6
21	-0.611092	1.348249	5.204218	0.025974	6.7
22	-0.613760	2.346422	4.981712	0.027857	6.4
23	-0.618696	3.346305	4.777117	0.014843	6.9
24	-0.598153	2.455620	4.958520	0.016166	6.7
25	-0.610692	1.577890	5.151285	0.034584	6.4
26	-0.608426	0.697311	5.360349	0.026378	6.5
27	-0.605467	1.697075	5.124235	0.010152	6.7
28	-0.626199	1.683213	5.127367	0.010994	7.4
29	-0.610363	1.460925	5.178111	0.023507	6.5
30	-0.595145	2.460740	4.957438	0.029851	6.7
31	-0.619496	3.460740	4.754768	0.018480	6.6
32	-0.603419	4.079728	4.637417	0.013211	7.1
33	-0.623223	3.202368	4.805528	0.011917	7.4
34	-0.602906	4.162198	4.622218	0.017554	6.9
35	-0.601316	5.160899	4.445763	0.015880	6.9
36	-0.603655	4.273373	4.601885	0.024758	6.8
37	-0.610605	5.273243	4.426753	0.022950	7.0
38	-0.618005	4.539542	4.553925	0.025081	7.0
39	-0.600133	5.539541	4.382335	0.023188	6.8
40	-0.628642	6.539539	4.223206	0.021074	6.7
41	-0.610011	5.638256	4.366095	0.028244	6.7
42	-0.626903	6.638132	4.208141	0.019117	7.3
43	-0.606892	5.736854	4.349994	0.014341	6.3
44	-0.608936	5.630900	4.367301	0.014213	6.7
45	-0.595588	6.612828	4.211997	0.015404	7.0
46	-0.601360	7.600270	4.066575	0.009833	6.6
47	-0.608529	6.741127	4.192517	0.015581	6.6
48	-0.607954	7.330887	4.105242	0.014889	6.9
49	-0.619215	7.389619	4.096749	0.016880	6.4
50	-0.613240	8.181549	3.985572	0.017543	6.5
51	-0.620759	9.181315	3.853548	0.017140	6.6
52	-0.597743	10.089461	3.740983	0.011459	7.0
53	-0.615144	9.332415	3.834352	0.018140	6.8
54	-0.617683	8.618567	3.926765	0.021571	7.2
55	-0.604164	7.753515	4.044902	0.019569	7.2
56	-0.624576	6.852405	4.175767	0.013678	6.4
57	-0.607805	7.833097	4.033738	0.016962	6.3
58	-0.610973	8.343340	3.963596	0.019162	6.9
59	-0.613339	9.342062	3.833133	0.015699	7.1
60	-0.612372	8.441186	3.950424	0.015397	6.9
61	-0.615738	9.422450	3.823004	0.014107	6.4
62	-0.603592	8.599666	3.929272	0.016936	8.6
63	-0.607970	7.907768	4.023318	0.013511	8.7
64	-0.602393	8.518433	3.940086	0.015698	8.2
65	-0.604833	8.229944	3.978973	0.016280	7.8
66	-0.607664	8.802246	3.902563	0.022139	8.3
67	-0.637622	7.901058	4.024252	0.017615	6.7
68	-0.605397	7.045238	4.147055	0.016958	6.7
69	-0.626417	6.144548	4.284660	0.017783	6.9
70	-0.607141	6.238965	4.269808	0.023752	6.9
71	-0.624777	5.400345	4.405441	0.016780	6.9
72	-0.620519	4.659652	4.532608	0.014244	6.4
73	-0.622328	5.231335	4.433825	0.030605	7.1
74	-0.619649	6.231318	4.271007	0.033242	6.6
75	-0.613090	7.231318	4.119721	0.012236	7.0
76	-0.618185	6.352838	4.252032	0.032902	7.0
77	-0.612674	5.751793	4.347565	0.018413	7.0
78	-0.613525	6.676162	4.202358	0.027615	8.7
79	-0.617130	5.775233	4.343759	0.024723	7.4
80	-0.618578	6.748298	4.191434	0.016808	7.3
81	-0.632328	5.847111	4.332129	0.020219	6.8
82	-0.614263	5.680846	4.359125	0.016632	7.0
83	-0.625858	4.779584	4.511522	0.027891	7.3
84	-0.613067	5.777898	4.343326	0.015555	7.2
85	-0.621577	6.702031	4.198434	0.013626	7.1
86	-0.612339	6.001560	4.307349	0.021398	7.3
87	-0.603449	5.100379	4.456071	0.031626	7.5
88	-0.624019	6.100185	4.291674	0.029009	7.3
89	-0.629290	5.198916	4.439312	0.021474	7.2
90	-0.624178	4.298116	4.597384	0.029961	7.3
91	-0.619356	3.397026	4.767186	0.026595	7.2
92	-0.607554	4.397026	4.579479	0.016666	6.7
93	-0.629203	3.691385	4.710354	0.020869	7.4
94	-0.608068	4.690864	4.527102	0.016191	7.1
95	-0.602146	5.690722	4.357512	0.023352	7.1
96	-0.637537	4.789440	4.509798	0.022252	7.4
97	-0.608972	5.763139	4.345722	0.017733	6.4
98	-0.617901	4.861861	4.497169	0.026237	6.4
99	-0.614300	5.859485	4.330133	0.009007	6.7
100	-0.637194	5.896182	4.324225	0.038017	6.9
101	-0.624261	6.829889	4.179145	0.021152	6.6
102	-0.639579	6.117262	4.288971	0.030141	6.7
103	-0.613527	5.367024	4.411008	0.013873	6.7
104	-0.609914	6.367021	4.249829	0.016670	6.8
105	-0.621699	6.167025	4.281115	0.011760	7.6
106	-0.616547	5.277983	4.425954	0.023195	6.4
107	-0.626579	6.273639	4.264380	0.022216	6.6
108	-0.623375	7.273638	4.113555	0.015944	7.6
109	-0.631371	7.129680	4.134606	0.013033	6.7
110	-0.630296	7.276458	4.113144	0.014814	7.1
111	-0.624516	7.892902	4.025388	0.020180	6.6
112	-0.623942	8.891268	3.890941	0.016226	6.3
113	-0.615195	7.990026	4.011902	0.015894	7.1
114	-0.607414	7.090880	4.140317	0.024655	6.7
115	-0.605691	8.015888	4.008326	0.012456	6.7
116	-0.625884	8.849837	3.896341	0.026089	6.5
117	-0.628738	9.778359	3.778796	0.023677	7.0
118	-0.622964	10.778357	3.659886	0.015053	7.1
119	-0.622225	9.933913	3.759794	0.015249	6.9
120	-0.610838	10.779395	3.659766	0.016889	6.6
121	-0.624840	9.912981	3.762340	0.021650	6.8
122	-0.613892	10.896809	3.646294	0.029600	6.5
123	-0.609948	11.896784	3.535457	0.025589	6.7
124	-0.614728	10.995500	3.635047	0.012119	6.5
125	-0.626050	10.094327	3.740398	0.028143	6.9
126	-0.625176	9.196542	3.851605	0.018738	7.3
127	-0.622954	8.295259	3.970102	0.013178	6.7
128	-0.629356	8.533090	3.938130	0.014970	6.7
129	-0.625409	9.490931	3.814418	0.008321	6.9
130	-0.627566	9.481000	3.815661	0.016970	6.9
131	-0.616603	9.801416	3.775968	0.027784	6.6
132	-0.628389	10.684891	3.670682	0.023788	6.4
133	-0.642120	10.858758	3.650649	0.013398	6.4
134	-0.611944	9.957489	3.756931	0.019703	6.8
135	-0.615961	9.803699	3.775688	0.017775	6.5
136	-0.612312	8.902628	3.889463	0.014008	6.8
137	-0.623575	8.269175	3.973640	0.015251	6.7
138	-0.635236	9.246746	3.845212	0.014593	6.5
139	-0.628718	8.568480	3.933417	0.009965	6.5
140	-0.641705	7.957174	4.016454	0.011075	6.4
141	-0.629394	7.480795	4.083634	0.031093	6.9
142	-0.614636	6.672117	4.202973	0.019743	6.5
143	-0.626233	7.672018	4.056399	0.034139	6.6
144	-0.623947	8.333756	3.964891	0.015523	6.4
145	-0.633267	9.332986	3.834280	0.014724	6.4
146	-0.632551	10.323803	3.712996	0.026056	6.5
147	-0.627326	9.422520	3.822995	0.029711	6.4
