1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
0	-0.404952	-0.404952	0.000000	0.000000	1285.510368	0.001951	0.000000	0.001951	30.7	85.6	1420.8
1	-0.402513	-0.402513	0.000000	0.000000	1285.510368	0.001800	0.000000	0.001800	23.3	80.0	104.4
2	-0.419615	-0.419615	0.000000	0.000000	1285.510368	0.001762	0.000000	0.001762	14.1	81.8	97.4
3	-0.419279	-0.419279	0.000000	0.000000	1285.510368	0.001477	0.000000	0.001477	21.7	68.1	91.0
4	-0.418228	-0.418229	0.000000	0.000000	1285.510368	0.000978	0.000000	0.000978	26.1	65.8	93.0
5	-0.422565	-0.422565	0.000000	0.000000	1285.510368	0.001146	0.000000	0.001146	24.5	100.1	125.7
6	-0.417099	-0.417100	0.000000	0.000000	1285.510368	0.001180	0.000000	0.001180	26.3	69.9	97.4
7	-0.428113	-0.428113	0.000000	0.000000	1285.510368	0.001209	0.000000	0.001209	18.1	74.0	93.1
8	-0.426566	-0.426566	0.000000	0.000000	1285.510368	0.000956	0.000000	0.000956	14.5	68.0	83.6
9	-0.434885	-0.434885	0.000000	0.000000	1285.510368	0.001228	0.000000	0.001228	18.8	68.5	88.4
10	-0.428850	-0.428850	0.000000	0.000000	1285.510368	0.000992	0.000000	0.000992	22.5	66.0	89.6
11	-0.430983	-0.430983	0.000000	0.000000	1285.510368	0.001442	0.000000	0.001442	16.5	67.6	85.4
12	-0.436162	-0.436162	0.000000	0.000000	1285.510368	0.001506	0.000000	0.001506	21.0	66.4	88.5
13	-0.435194	-0.435194	0.000000	0.000000	1285.510368	0.001418	0.000000	0.001418	17.4	68.3	86.8
14	-0.437725	-0.437725	0.000000	0.000000	1285.510368	0.001246	0.000000	0.001246	27.6	67.1	95.7
15	-0.428333	-0.428333	0.000000	0.000000	1285.510368	0.001017	0.000000	0.001017	24.3	77.3	102.6
16	-0.445120	-0.445120	0.000000	0.000000	1285.510368	0.000954	0.000000	0.000954	20.6	67.4	89.2
17	-0.445173	-0.445173	0.000000	0.000000	1285.510368	0.000890	0.000000	0.000890	16.8	63.2	81.2
18	-0.439346	-0.439347	0.000000	0.000000	1285.510368	0.000847	0.000000	0.000847	21.6	67.3	89.9
19	-0.436471	-0.436471	0.000000	0.000000	1285.510368	0.000742	0.000000	0.000742	12.7	67.1	81.0
20	-0.444734	-0.444734	0.000000	0.000000	1285.510368	0.000744	0.000000	0.000744	27.8	63.1	91.9
21	-0.446046	-0.446047	0.000000	0.000000	1285.510368	0.000791	0.000000	0.000791	14.6	70.8	86.8
22	-0.446877	-0.446877	0.000000	0.000000	1285.510368	0.000708	0.000000	0.000708	15.9	78.0	94.9
23	-0.444975	-0.444976	0.000000	0.000000	1285.510368	0.000929	0.000000	0.000929	19.3	79.9	100.4
24	-0.448534	-0.448534	0.000000	0.000000	1285.510368	0.000600	0.000000	0.000600	24.7	74.1	100.0
25	-0.450705	-0.450705	0.000000	0.000000	1285.510368	0.000975	0.000000	0.000975	24.5	86.3	112.0
26	-0.449731	-0.449732	0.000000	0.000000	1285.510368	0.000894	0.000000	0.000894	14.5	84.1	100.0
27	-0.445161	-0.445161	0.000000	0.000000	1285.510368	0.000919	0.000000	0.000919	17.5	77.3	96.3
28	-0.453893	-0.453894	0.000000	0.000000	1285.510368	0.001173	0.000000	0.001173	16.6	77.9	95.7
29	-0.448449	-0.448449	0.000000	0.000000	1285.510368	0.000807	0.000000	0.000807	19.5	77.3	98.3
30	-0.443844	-0.443844	0.000000	1.000000	1227.078079	0.000673	0.000000	0.000673	15.2	71.5	88.2
31	-0.448564	-0.448564	0.000000	0.926433	1231.195132	0.000535	0.000000	0.000535	19.4	68.4	88.8
32	-0.455317	-0.455317	0.000000	0.852866	1235.339904	0.000620	0.000000	0.000620	12.7	77.1	91.1
33	-0.451120	-0.451120	0.000000	0.779299	1239.512677	0.000589	0.000000	0.000589	15.5	62.8	79.5
34	-0.443621	-0.443622	0.000000	0.705733	1243.713735	0.000618	0.000000	0.000618	13.2	76.8	91.2
35	-0.446322	-0.446322	0.000000	0.632166	1247.943368	0.000788	0.000000	0.000788	29.0	74.0	111.6
36	-0.450793	-0.450793	0.000000	0.558599	1252.201867	0.000848	0.000000	0.000848	28.3	57.8	87.1
37	-0.452218	-0.452219	0.000000	0.487637	1256.337188	0.000681	0.000000	0.000681	19.5	61.7	82.3
38	-0.453317	-0.453317	0.000000	0.414070	1260.653261	0.000533	0.000000	0.000533	15.0	69.0	85.1
39	-0.451743	-0.451743	0.000000	0.340504	1264.999096	0.000620	0.000000	0.000620	17.6	63.5	82.3
40	-0.450098	-0.450098	0.000000	0.266937	1269.374997	0.000835	0.000000	0.000835	21.5	71.0	93.4
41	-0.450328	-0.450329	0.000000	0.193370	1273.781277	0.000545	0.000000	0.000545	19.3	83.3	103.9
42	-0.452207	-0.452207	0.000000	0.119803	1278.218254	0.000577	0.000000	0.000577	19.3	76.4	96.8
43	-0.462208	-0.462208	0.000000	0.046236	1282.686243	0.000515	0.000000	0.000515	17.0	68.1	86.3
44	-0.456510	-0.456510	0.000000	0.000000	1285.510368	0.000528	0.000000	0.000528	13.7	71.0	85.7
45	-0.457286	-0.457286	0.000000	0.000000	1285.510368	0.000648	0.000000	0.000648	24.9	86.1	112.1
46	-0.458951	-0.458952	0.000000	0.000000	1285.510368	0.000640	0.000000	0.000640	18.8	63.9	83.7
47	-0.451676	-0.451677	0.000000	0.000000	1285.510368	0.000761	0.000000	0.000761	16.1	73.4	90.8
48	-0.451242	-0.451242	0.000000	0.000000	1285.510368	0.000602	0.000000	0.000602	13.8	73.2	88.2
49	-0.453567	-0.453567	0.000000	0.000000	1285.510368	0.000833	0.000000	0.000833	18.1	69.4	88.6
50	-0.458171	-0.458171	0.000000	0.000000	1285.510368	0.000767	0.000000	0.000767	16.9	64.0	81.9
51	-0.460056	-0.460056	0.000000	1.000000	1227.078081	0.000615	0.000000	0.000615	16.9	72.4	90.5
52	-0.446186	-0.446186	0.000000	0.926433	1231.195133	0.000534	0.000000	0.000534	23.3	59.9	84.4
53	-0.460812	-0.460812	0.000000	0.852867	1235.339856	0.000498	0.000000	0.000498	16.9	72.5	90.3
54	-0.459085	-0.459085	0.000000	0.779300	1239.512628	0.000592	0.000000	0.000592	13.6	69.1	83.9
55	-0.452847	-0.452847	0.000000	0.705733	1243.713686	0.000628	0.000000	0.000628	18.3	86.5	106.3
56	-0.453845	-0.453845	0.000000	0.632167	1247.943318	0.000694	0.000000	0.000694	17.3	68.5	86.8
57	-0.461012	-0.461012	0.000000	0.558600	1252.201817	0.000585	0.000000	0.000585	15.5	66.1	82.7
58	-0.448132	-0.448132	0.000000	0.485033	1256.489479	0.000634	0.000000	0.000634	18.8	77.7	97.8
59	-0.460417	-0.460417	0.000000	0.411466	1260.806604	0.000653	0.000000	0.000653	21.0	63.3	85.4
60	-0.460154	-0.460154	0.000000	0.337900	1265.153429	0.000518	0.000000	0.000518	20.6	67.9	89.6
61	-0.455825	-0.455826	0.000000	0.264335	1269.530323	0.000697	0.000000	0.000697	15.2	68.5	84.6
62	-0.449083	-0.449083	0.000000	0.190768	1273.937683	0.000789	0.000000	0.000789	22.2	67.7	91.1
63	-0.462303	-0.462303	0.000000	1.170064	1217.665307	0.000593	0.000000	0.000593	17.0	72.3	90.4
64	-0.451738	-0.451738	0.000000	1.096497	1221.719334	0.000964	0.000000	0.000964	10.9	68.0	80.0
65	-0.470466	-0.470466	0.000000	1.023251	1225.782572	0.000610	0.000000	0.000610	28.4	86.8	116.2
66	-0.461373	-0.461373	0.000000	0.949685	1229.890921	0.000636	0.000000	0.000636	12.7	72.7	86.4
67	-0.458227	-0.458228	0.000000	0.876118	1234.026902	0.000868	0.000000	0.000868	16.2	69.6	86.9
68	-0.454683	-0.454684	0.000000	1.876118	1180.083008	0.001133	0.000000	0.001133	15.1	70.2	86.5
69	-0.461271	-0.461272	0.000000	2.876118	1130.657761	0.000711	0.000000	0.000711	16.8	68.2	86.1
70	-0.453862	-0.453862	0.000000	3.876118	1085.206225	0.000588	0.000000	0.000588	20.9	67.3	89.2
71	-0.461769	-0.461770	0.000000	3.802553	1088.424979	0.000496	0.000000	0.000496	18.9	68.0	88.0
72	-0.459264	-0.459264	0.000000	3.728986	1091.662960	0.000580	0.000000	0.000580	22.5	68.3	91.9
73	-0.460741	-0.460741	0.000000	3.671090	1094.224759	0.000474	0.000000	0.000474	10.7	60.8	72.9
74	-0.461901	-0.461901	0.000000	3.597523	1097.497392	0.000680	0.000000	0.000680	14.4	76.7	92.3
75	-0.461887	-0.461887	0.000000	3.524108	1100.782879	0.000496	0.000000	0.000496	18.5	93.9	113.7
76	-0.458740	-0.458740	0.000000	3.450541	1104.094918	0.000632	0.000000	0.000632	20.0	65.4	86.5
77	-0.460322	-0.460322	0.000000	3.376974	1107.426933	0.000512	0.000000	0.000512	12.9	63.9	77.9
78	-0.451093	-0.451094	0.000000	3.303407	1110.779133	0.000672	0.000000	0.000672	18.8	66.2	86.3
79	-0.451303	-0.451304	0.000000	3.229840	1114.151690	0.000437	0.000000	0.000437	15.5	73.6	90.1
80	-0.463735	-0.463735	0.000000	3.156274	1117.544789	0.000588	0.000000	0.000588	18.2	74.4	93.7
81	-0.458482	-0.458482	0.000000	3.082707	1120.958618	0.000616	0.000000	0.000616	19.0	64.7	84.9
82	-0.457428	-0.457429	0.000000	3.009140	1124.393368	0.000832	0.000000	0.000832	17.8	62.2	81.1
83	-0.466465	-0.466466	0.000000	2.960042	1126.697436	0.000979	0.000000	0.000979	11.8	65.7	78.7
84	-0.462503	-0.462503	0.000000	3.960042	1081.557390	0.000862	0.000000	0.000862	14.3	65.0	80.6
85	-0.459166	-0.459166	0.000000	4.960042	1039.895000	0.000409	0.000000	0.000409	19.4	62.5	83.1
86	-0.465150	-0.465151	0.000000	4.886475	1042.850280	0.000570	0.000000	0.000570	13.3	84.9	99.3
87	-0.461920	-0.461920	0.000000	4.812908	1045.822406	0.000799	0.000000	0.000799	20.1	61.6	83.0
88	-0.465886	-0.465887	0.000000	5.504506	1018.533152	0.000921	0.000000	0.000921	16.3	64.8	82.1
89	-0.461840	-0.461841	0.000000	6.504506	981.501650	0.000660	0.000000	0.000660	15.7	62.5	79.4
90	-0.466613	-0.466614	0.000000	6.568210	979.233612	0.000674	0.000000	0.000674	19.2	80.5	100.6
91	-0.461484	-0.461485	0.000000	6.494645	981.853644	0.000562	0.000000	0.000562	18.1	70.4	89.6
92	-0.461311	-0.461312	0.000000	6.421079	984.487816	0.000621	0.000000	0.000621	15.1	72.2	88.4
93	-0.466658	-0.466658	0.000000	6.347512	987.136162	0.000950	0.000000	0.000950	18.0	64.6	83.6
94	-0.473780	-0.473780	0.000000	6.274471	989.779716	0.000655	0.000000	0.000655	15.8	67.0	83.8
95	-0.465686	-0.465687	0.000000	6.200904	992.456649	0.000423	0.000000	0.000423	13.1	69.0	83.2
96	-0.467573	-0.467574	0.000000	6.127337	995.148100	0.000574	0.000000	0.000574	14.0	67.3	82.6
97	-0.460437	-0.460437	0.000000	6.053770	997.854190	0.000718	0.000000	0.000718	14.3	62.3	77.8
98	-0.461995	-0.461996	0.000000	5.980203	1000.575036	0.000686	0.000000	0.000686	11.7	65.0	77.7
99	-0.465704	-0.465704	0.000000	5.906636	1003.310760	0.000672	0.000000	0.000672	19.1	65.5	86.0
100	-0.469001	-0.469001	0.000000	5.833313	1006.052351	0.000687	0.000000	0.000687	17.5	80.3	98.8
101	-0.465881	-0.465881	0.000000	5.759811	1008.815696	0.000582	0.000000	0.000582	18.4	65.3	84.9
102	-0.471094	-0.471095	0.000000	5.686259	1011.596166	0.000572	0.000000	0.000572	18.5	59.5	79.3
103	-0.464256	-0.464257	0.000000	5.612693	1014.392574	0.000798	0.000000	0.000798	15.4	63.7	80.2
104	-0.459028	-0.459029	0.000000	5.539197	1017.201764	0.000582	0.000000	0.000582	13.1	65.6	80.1
105	-0.472110	-0.472110	0.000000	5.465630	1020.029293	0.000592	0.000000	0.000592	17.0	67.4	85.6
106	-0.469782	-0.469783	0.000000	5.392063	1022.872585	0.000610	0.000000	0.000610	11.9	64.9	77.8
107	-0.470849	-0.470849	0.000000	5.318496	1025.731762	0.000616	0.000000	0.000616	14.1	70.4	85.6
108	-0.475304	-0.475305	0.000000	5.244930	1028.606979	0.000781	0.000000	0.000781	13.2	58.7	73.1
109	-0.464251	-0.464252	0.000000	5.171432	1031.495645	0.000849	0.000000	0.000849	16.3	67.7	85.1
110	-0.462549	-0.462550	0.000000	5.097865	1034.403311	0.000972	0.000000	0.000972	15.6	62.8	79.5
111	-0.464837	-0.464838	0.000000	6.097865	996.230440	0.000546	0.000000	0.000546	16.3	67.5	84.9
112	-0.468859	-0.468860	0.000000	6.170974	993.549886	0.000909	0.000000	0.000909	17.9	65.2	84.3
113	-0.470646	-0.470646	0.000000	6.097407	996.247279	0.000534	0.000000	0.000534	13.0	68.3	82.4
114	-0.465212	-0.465213	0.000000	7.030768	963.074481	0.000565	0.000000	0.000565	17.6	89.0	107.6
115	-0.464447	-0.464447	0.000000	6.957202	965.608725	0.000520	0.000000	0.000520	16.5	63.9	81.6
116	-0.462191	-0.462191	0.000000	6.883635	968.156341	0.000715	0.000000	0.000715	11.6	58.6	71.4
117	-0.474587	-0.474587	0.000000	6.810068	970.717436	0.000870	0.000000	0.000870	16.6	66.6	84.3
118	-0.472124	-0.472125	0.000000	7.809985	937.026427	0.000745	0.000000	0.000745	15.4	59.7	76.3
119	-0.464158	-0.464158	0.000000	8.791603	906.151896	0.000689	0.000000	0.000689	14.8	68.6	84.4
120	-0.464284	-0.464285	0.000000	8.741654	907.673729	0.001013	0.000000	0.001013	10.8	64.3	76.2
121	-0.471453	-0.471453	0.000000	9.741654	878.147870	0.000911	0.000000	0.000911	13.5	63.8	78.4
122	-0.471976	-0.471976	0.000000	10.741654	850.482397	0.000611	0.000000	0.000611	18.6	61.4	81.3
123	-0.471990	-0.471991	0.000000	10.690484	851.855637	0.000674	0.000000	0.000674	11.1	64.6	76.7
124	-0.464901	-0.464901	0.000000	10.616917	853.837751	0.000773	0.000000	0.000773	17.1	62.7	81.0
125	-0.471193	-0.471194	0.000000	11.616913	827.660105	0.001039	0.000000	0.001039	18.7	64.2	84.2
126	-0.469748	-0.469749	0.000000	12.616913	803.039757	0.000388	0.000000	0.000388	12.0	65.3	78.3
127	-0.462514	-0.462515	0.000000	13.034197	793.193908	0.000551	0.000000	0.000551	19.4	62.5	83.5
128	-0.470831	-0.470832	0.000000	12.960630	794.912155	0.000560	0.000000	0.000560	18.9	67.3	87.3
