label,x,y,z
V1,23.31325626373291,-65.1171875,-118.15936279296875
V2,23.31325626373291,-65.1171875,-118.15936279296875
V3,4.152108208202214,-69.18252094020244,-124.10581996992678
V4,-15.086745262145996,-71.953125,-127.72967529296875
V5,-24.686745643615723,-71.953125,-130.46405029296875
V6,-24.686745643615723,-71.953125,-130.46405029296875
