1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
0	-0.429811	-0.429813	0.000000	0.000000	1589.327614	0.001328	0.000000	0.001328	9.1	41.9	472.6
1	-0.438869	-0.438870	0.000000	0.000000	1589.327614	0.001641	0.000000	0.001641	9.4	42.1	52.4
2	-0.437042	-0.437043	0.000000	0.000000	1589.327614	0.001334	0.000000	0.001334	9.0	41.5	51.6
3	-0.436940	-0.436942	0.000000	1.000000	1517.085452	0.001764	0.000000	0.001764	9.5	42.2	52.6
4	-0.440354	-0.440355	0.000000	0.826458	1529.147807	0.001578	0.000000	0.001578	9.7	41.9	52.5
5	-0.435952	-0.435954	0.000000	1.818410	1462.673364	0.001278	0.000000	0.001278	9.2	44.0	54.2
6	-0.433878	-0.433879	0.000000	1.277387	1498.195481	0.001484	0.000000	0.001484	14.7	69.6	85.3
7	-0.439435	-0.439436	0.000000	0.736364	1535.485905	0.001912	0.000000	0.001912	10.0	54.4	65.4
8	-0.435073	-0.435075	0.000000	0.195341	1574.680047	0.001343	0.000000	0.001343	10.0	46.6	57.6
9	-0.432304	-0.432305	0.000000	0.000000	1589.327614	0.001699	0.000000	0.001699	10.1	44.4	55.6
10	-0.437660	-0.437661	0.000000	0.073078	1583.816085	0.001300	0.000000	0.001299	10.1	42.3	53.4
11	-0.444629	-0.444630	0.000000	0.000000	1589.327614	0.001314	0.000000	0.001314	10.1	43.3	54.5
12	-0.434760	-0.434762	0.000000	0.983350	1518.234447	0.001511	0.000000	0.001511	9.8	48.4	59.1
13	-0.435891	-0.435893	0.000000	1.978397	1452.489492	0.001892	0.000000	0.001892	12.8	67.8	81.8
14	-0.443882	-0.443883	0.000000	1.439241	1487.388958	0.001341	0.000000	0.001341	10.6	51.1	62.7
15	-0.442513	-0.442514	0.000000	2.439241	1423.931744	0.001857	0.000000	0.001857	10.9	48.2	60.2
16	-0.433660	-0.433661	0.000000	1.898218	1457.575402	0.001237	0.000000	0.001237	10.4	43.0	54.3
17	-0.440940	-0.440942	0.000000	1.357208	1492.846476	0.002352	0.000000	0.002352	9.5	65.5	76.0
18	-0.443504	-0.443506	0.000000	2.357208	1428.932739	0.001618	0.000000	0.001618	12.0	53.9	67.2
19	-0.444117	-0.444119	0.000000	3.357208	1370.267037	0.001551	0.000000	0.001551	9.2	41.3	51.4
20	-0.448242	-0.448244	0.000000	4.357111	1316.233550	0.001339	0.000000	0.001339	9.6	42.4	52.9
21	-0.447875	-0.447877	0.000000	5.356976	1266.301574	0.001583	0.000000	0.001583	9.7	44.4	55.1
22	-0.443368	-0.443369	0.000000	4.819728	1292.650313	0.001651	0.000000	0.001651	9.5	39.9	50.3
23	-0.451988	-0.451990	0.000000	5.819728	1244.452572	0.001317	0.000000	0.001317	9.4	46.1	56.5
24	-0.442565	-0.442566	0.000000	6.819728	1199.719836	0.001446	0.000000	0.001446	10.7	49.9	61.5
25	-0.445702	-0.445703	0.000000	7.819728	1158.091413	0.001637	0.000000	0.001637	11.5	55.5	68.0
26	-0.443126	-0.443127	0.000000	7.278705	1180.247806	0.001395	0.000000	0.001395	11.4	53.0	65.6
