1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
0	-0.353972	-0.354002	0.000006	0.000000	481.629180	0.009741	0.000000	0.009741	13.8	45.2	6460.9
1	-0.353668	-0.353698	0.000006	0.000000	481.629180	0.011856	0.000000	0.011856	13.2	44.5	60.2
2	-0.348250	-0.348281	0.000006	0.000000	481.629180	0.010356	0.000000	0.010356	14.4	44.8	62.0
3	-0.345435	-0.345467	0.000006	0.000000	481.629180	0.012306	0.000000	0.012306	12.9	44.7	60.1
4	-0.350524	-0.350556	0.000006	0.000000	481.629180	0.010186	0.000000	0.010186	12.1	45.1	59.5
5	-0.349667	-0.349700	0.000007	1.000000	459.736944	0.011272	0.000000	0.011272	12.0	47.1	61.1
6	-0.350875	-0.350908	0.000007	2.000000	439.748382	0.010303	0.000000	0.010303	11.9	47.0	61.1
7	-0.351492	-0.351525	0.000007	1.098708	457.683449	0.010337	0.000000	0.010337	11.6	44.6	58.4
8	-0.352381	-0.352415	0.000007	2.098707	437.869226	0.011088	0.000000	0.011087	11.6	47.9	61.6
9	-0.344761	-0.344796	0.000007	1.379689	451.937149	0.009939	0.000000	0.009939	11.1	44.1	57.4
10	-0.348248	-0.348284	0.000007	2.379669	432.607178	0.011177	0.000000	0.011177	11.3	46.2	59.7
11	-0.361131	-0.361167	0.000007	1.478385	449.952821	0.009523	0.000000	0.009523	13.1	45.1	60.9
12	-0.350288	-0.350324	0.000007	2.478206	430.791558	0.011252	0.000000	0.011252	13.5	44.3	60.4
13	-0.344535	-0.344572	0.000007	3.478196	413.192736	0.011566	0.000000	0.011566	11.7	44.4	59.1
14	-0.348841	-0.348877	0.000007	2.576904	428.988170	0.011694	0.000000	0.011694	12.1	45.2	59.8
15	-0.353636	-0.353674	0.000008	1.675926	446.033064	0.011716	0.000000	0.011715	13.8	46.0	61.9
