1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.355592	0.000000	2.596608	0.040957	4568.1
1	-0.349460	0.000000	2.596608	0.040777	7.4
2	-0.349093	0.000000	2.596608	0.040199	7.4
3	-0.342161	0.764896	2.505354	0.044900	7.1
4	-0.349198	1.764892	2.395301	0.016394	7.7
5	-0.336640	1.997651	2.371058	0.050912	7.0
6	-0.351224	1.450915	2.428799	0.100690	6.8
7	-0.339897	2.444020	2.325914	0.055812	7.0
8	-0.340884	3.444020	2.230761	0.053885	6.8
9	-0.341802	2.536319	2.316793	0.060274	7.2
10	-0.350102	3.536317	2.222370	0.021105	7.0
11	-0.348380	2.631313	2.307479	0.054255	6.8
12	-0.335164	3.609791	2.215735	0.040008	6.7
13	-0.348399	4.574449	2.132158	0.044859	7.0
14	-0.341001	5.574437	2.051926	0.076308	6.6
15	-0.346871	4.664428	2.124683	0.027541	6.6
16	-0.341335	3.758061	2.202465	0.045179	7.1
17	-0.339560	2.848342	2.286481	0.040317	6.6
18	-0.342277	3.686507	2.208849	0.042240	7.0
19	-0.329921	4.487209	2.139456	0.060811	7.0
20	-0.338676	4.189901	2.164708	0.070077	6.9
21	-0.341478	3.279892	2.245841	0.055409	7.0
22	-0.346841	4.107583	2.171805	0.064640	6.6
23	-0.348994	5.106537	2.088702	0.092233	6.9
24	-0.342275	6.106537	2.011646	0.051124	7.0
25	-0.347667	5.196638	2.081518	0.020217	6.7
26	-0.332219	4.381034	2.148406	0.048724	6.8
27	-0.351193	3.471137	2.228289	0.050239	7.1
28	-0.344715	2.561128	2.314353	0.061061	6.8
29	-0.349143	1.657689	2.406634	0.050986	6.8
30	-0.339229	2.657689	2.304907	0.065431	6.6
31	-0.337333	3.657689	2.211431	0.049024	7.0
32	-0.350234	2.748369	2.296106	0.047580	6.9
33	-0.350932	3.746744	2.203472	0.059194	6.5
34	-0.341403	2.836735	2.287594	0.043342	7.0
35	-0.345772	1.927365	2.378327	0.061393	6.5
36	-0.337077	1.504389	2.423028	0.031847	7.1
37	-0.349632	0.594380	2.525137	0.064792	7.1
38	-0.355154	1.504061	2.423064	0.051803	7.0
39	-0.348373	2.504008	2.319977	0.048558	7.5
40	-0.338744	1.594010	2.413417	0.081640	7.0
41	-0.342696	2.593908	2.311138	0.063357	7.3
42	-0.353890	1.685691	2.403664	0.057616	6.7
43	-0.345789	2.685691	2.302182	0.046532	6.9
44	-0.344880	3.644063	2.212653	0.050925	6.9
45	-0.348813	4.634847	2.127135	0.036227	7.4
46	-0.343862	3.725147	2.205397	0.076440	6.8
47	-0.348516	2.815138	2.289668	0.034864	7.1
48	-0.340965	1.928727	2.378186	0.040849	7.1
49	-0.346074	1.021569	2.476153	0.049878	7.0
50	-0.348733	0.121692	2.581648	0.093360	7.0
51	-0.343211	1.121691	2.464946	0.041960	6.6
52	-0.348046	0.211682	2.570695	0.081750	7.4
53	-0.337080	0.000000	2.596608	0.048868	7.2
54	-0.344419	1.000000	2.478580	0.024636	6.5
55	-0.346730	1.987540	2.372101	0.043167	7.3
56	-0.355308	1.080035	2.469596	0.081736	7.1
57	-0.340839	2.080034	2.362595	0.044212	6.5
58	-0.345393	1.248196	2.450930	0.048282	7.0
59	-0.350007	1.995144	2.371317	0.028722	6.8
60	-0.342652	1.193850	2.456932	0.062432	7.0
61	-0.350758	2.140166	2.356455	0.036705	6.9
62	-0.358771	2.976538	2.274255	0.063314	6.6
63	-0.340711	3.976538	2.183200	0.034606	7.1
64	-0.338119	4.787773	2.114520	0.070035	7.1
65	-0.344731	5.787773	2.035584	0.067794	6.5
66	-0.350410	5.773407	2.036677	0.056262	6.4
67	-0.353945	4.915384	2.104108	0.070675	6.6
68	-0.347400	5.915336	2.025937	0.052222	6.9
69	-0.353253	5.005334	2.096830	0.058744	6.7
70	-0.346470	6.005331	2.019185	0.039115	6.5
71	-0.355685	5.095542	2.089582	0.061844	6.6
72	-0.343878	4.186677	2.164985	0.062084	6.7
73	-0.354536	3.356475	2.238779	0.081841	6.7
74	-0.354763	3.787162	2.199879	0.067735	6.9
75	-0.344762	4.787162	2.114570	0.044828	6.6
76	-0.349549	3.877162	2.191921	0.041007	7.1
77	-0.340847	4.354328	2.150669	0.074411	7.0
78	-0.350698	4.766569	2.116260	0.095899	7.0
79	-0.340064	3.856560	2.193738	0.046528	6.8
80	-0.344733	3.965208	2.184190	0.046598	7.1
81	-0.340917	4.965206	2.100071	0.056415	7.0
82	-0.339529	5.965204	2.022190	0.075730	7.1
83	-0.343899	5.055267	2.092812	0.029541	6.8
84	-0.347483	4.862793	2.108387	0.060771	7.2
85	-0.343945	5.862766	2.029901	0.027122	6.7
86	-0.333963	6.862765	1.957048	0.047200	6.8
87	-0.351330	7.091517	1.941112	0.033093	7.2
88	-0.348676	8.091516	1.874387	0.048896	7.5
89	-0.338558	9.091495	1.812099	0.042478	6.8
90	-0.357055	10.055080	1.755873	0.074233	7.0
91	-0.348427	11.055043	1.701098	0.032814	7.0
92	-0.350549	11.172952	1.694864	0.081681	7.0
93	-0.346399	10.797557	1.714873	0.046352	7.1
