1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
0	-0.410230	-0.410234	0.000001	0.000000	549.932431	0.003691	0.000000	0.003691	10.2	44.1	1400.6
1	-0.412667	-0.412670	0.000001	0.000000	549.932431	0.004395	0.000000	0.004395	11.0	43.1	55.4
2	-0.415007	-0.415011	0.000001	0.000000	549.932431	0.003867	0.000000	0.003867	9.9	43.4	54.6
3	-0.403840	-0.403843	0.000001	0.999849	524.939102	0.004203	0.000000	0.004203	10.1	41.5	52.8
4	-0.412369	-0.412373	0.000001	1.999840	502.115720	0.004051	0.000000	0.004051	10.1	43.4	54.9
5	-0.415683	-0.415687	0.000001	2.609353	489.152794	0.004458	0.000000	0.004458	10.3	41.7	53.2
6	-0.414842	-0.414845	0.000001	1.805272	506.399616	0.004434	0.000000	0.004434	10.1	41.5	52.9
7	-0.414138	-0.414141	0.000001	0.916910	526.925593	0.004715	0.000000	0.004715	10.0	41.5	52.7
8	-0.407158	-0.407162	0.000001	1.358420	516.520454	0.003596	0.000000	0.003596	10.2	42.4	53.9
9	-0.408539	-0.408542	0.000001	2.358419	494.407643	0.003387	0.000000	0.003387	10.2	42.6	54.0
10	-0.416225	-0.416228	0.000001	1.470681	513.939961	0.003940	0.000000	0.003940	10.3	43.9	55.4
11	-0.417184	-0.417188	0.000001	2.368915	494.185592	0.004571	0.000000	0.004571	10.6	41.4	53.2
12	-0.418323	-0.418327	0.000001	1.480469	513.716189	0.003903	0.000000	0.003903	10.6	43.7	55.5
13	-0.416468	-0.416472	0.000001	0.615659	534.269204	0.003910	0.000000	0.003910	11.0	42.6	55.0
14	-0.420168	-0.420172	0.000001	0.000000	549.932431	0.003772	0.000000	0.003772	10.4	42.1	53.8
15	-0.421978	-0.421982	0.000001	0.998489	524.971558	0.003484	0.000000	0.003484	10.9	41.6	53.8
16	-0.414810	-0.414814	0.000001	0.936452	526.456191	0.004147	0.000000	0.004147	11.1	44.4	56.7
17	-0.414301	-0.414305	0.000001	0.637618	533.726997	0.003340	0.000000	0.003340	10.3	43.3	54.9
18	-0.417469	-0.417473	0.000001	1.637537	510.151827	0.005158	0.000000	0.005158	11.2	47.3	59.8
19	-0.425106	-0.425110	0.000001	2.637537	488.569552	0.004268	0.000000	0.004268	12.1	49.4	62.9
20	-0.419084	-0.419088	0.000001	3.637537	468.739260	0.003828	0.000000	0.003828	11.6	50.0	62.9
21	-0.410738	-0.410742	0.000001	4.637536	450.455970	0.004125	0.000000	0.004125	10.7	41.7	53.7
22	-0.422095	-0.422099	0.000001	3.749215	466.624140	0.004781	0.000000	0.004781	10.0	42.6	53.9
23	-0.421902	-0.421906	0.000001	3.637061	468.748330	0.003931	0.000000	0.003931	9.9	42.3	53.5
24	-0.419948	-0.419952	0.000001	2.748838	486.279837	0.003694	0.000000	0.003694	10.8	42.9	55.1
25	-0.422401	-0.422405	0.000001	1.860429	505.177793	0.003925	0.000000	0.003925	10.1	41.9	53.2
26	-0.425838	-0.425843	0.000001	2.012719	501.834696	0.003914	0.000000	0.003914	10.7	42.1	54.1
27	-0.420650	-0.420654	0.000001	3.012699	480.936411	0.003219	0.000000	0.003219	10.1	42.5	53.9
28	-0.423171	-0.423176	0.000001	4.012686	461.708949	0.004796	0.000000	0.004796	10.3	41.4	53.0
29	-0.427945	-0.427950	0.000001	4.099893	460.104790	0.004509	0.000000	0.004509	10.7	43.2	55.2
