1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
0	-0.412811	-0.412811	0.000000	0.000000	1407.818506	0.001329	0.000000	0.001329	10.3	49.5	830.7
1	-0.414869	-0.414869	0.000000	0.000000	1407.818506	0.001045	0.000000	0.001045	10.5	52.8	64.2
2	-0.415632	-0.415632	0.000000	0.000000	1407.818506	0.001023	0.000000	0.001023	12.5	61.1	74.7
3	-0.418643	-0.418643	0.000000	0.000000	1407.818506	0.000741	0.000000	0.000741	11.7	55.0	67.6
4	-0.415927	-0.415927	0.000000	0.000000	1407.818506	0.000687	0.000000	0.000687	10.5	53.1	64.6
5	-0.420563	-0.420563	0.000000	0.000000	1407.818506	0.001007	0.000000	0.001007	10.8	52.3	64.1
6	-0.421199	-0.421199	0.000000	0.000000	1407.818506	0.000930	0.000000	0.000930	9.9	64.1	75.0
7	-0.417312	-0.417312	0.000000	1.000000	1343.826756	0.000644	0.000000	0.000644	19.2	63.0	83.2
8	-0.418557	-0.418557	0.000000	2.000000	1285.399505	0.000765	0.000000	0.000765	15.0	57.1	73.2
9	-0.421692	-0.421692	0.000000	1.946726	1288.383749	0.000663	0.000000	0.000663	12.5	61.3	74.9
10	-0.426509	-0.426509	0.000000	1.893452	1291.381881	0.000478	0.000000	0.000478	16.4	86.7	104.8
11	-0.420857	-0.420857	0.000000	1.840177	1294.394000	0.000505	0.000000	0.000505	11.8	72.6	85.4
12	-0.426538	-0.426538	0.000000	1.786903	1297.420202	0.000499	0.000000	0.000499	14.0	71.7	86.8
13	-0.424309	-0.424309	0.000000	1.733629	1300.460588	0.000616	0.000000	0.000616	14.0	58.9	74.0
14	-0.420519	-0.420519	0.000000	1.680355	1303.515257	0.000557	0.000000	0.000557	11.5	70.8	83.5
15	-0.424164	-0.424164	0.000000	1.627081	1306.584310	0.000506	0.000000	0.000506	14.5	70.6	86.1
16	-0.422370	-0.422370	0.000000	1.573807	1309.667849	0.000444	0.000000	0.000444	14.3	93.7	109.1
17	-0.423925	-0.423925	0.000000	1.520532	1312.765977	0.000500	0.000000	0.000500	17.9	71.9	91.1
18	-0.428870	-0.428870	0.000000	1.467258	1315.878798	0.000405	0.000000	0.000405	11.8	56.6	69.6
19	-0.422896	-0.422896	0.000000	1.413984	1319.006410	0.000376	0.000000	0.000376	11.4	64.0	76.5
20	-0.425329	-0.425329	0.000000	1.360710	1322.148930	0.000517	0.000000	0.000517	10.5	55.9	67.3
21	-0.423534	-0.423534	0.000000	1.307436	1325.306461	0.000364	0.000000	0.000364	10.8	52.8	64.6
22	-0.426582	-0.426582	0.000000	1.254161	1328.479109	0.000442	0.000000	0.000442	11.4	59.5	71.9
23	-0.429888	-0.429888	0.000000	1.200887	1331.666984	0.000411	0.000000	0.000411	12.4	61.4	74.8
24	-0.430227	-0.430227	0.000000	1.147613	1334.870195	0.000408	0.000000	0.000408	11.7	50.2	63.0
25	-0.430599	-0.430599	0.000000	1.094339	1338.088853	0.000358	0.000000	0.000358	9.6	47.3	58.1
26	-0.424459	-0.424459	0.000000	1.041065	1341.323070	0.000492	0.000000	0.000492	10.7	59.5	71.2
27	-0.430636	-0.430636	0.000000	0.987791	1344.572956	0.000549	0.000000	0.000549	10.9	67.0	78.8
28	-0.423780	-0.423780	0.000000	0.934516	1347.838632	0.000399	0.000000	0.000399	14.4	57.6	73.1
29	-0.429706	-0.429706	0.000000	0.881369	1351.112391	0.000595	0.000000	0.000595	9.7	51.1	61.7
30	-0.426462	-0.426462	0.000000	0.828095	1354.409950	0.000424	0.000000	0.000424	10.1	48.0	59.0
