1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.212608	0.000000	10.907452	0.011543	4469.2
1	-0.205935	0.000000	10.907452	0.014755	7.6
2	-0.205279	0.999998	10.411660	0.010957	9.5
3	-0.204493	0.162788	10.823549	0.014870	7.5
4	-0.208017	1.155000	10.338817	0.011072	7.9
5	-0.205739	0.610156	10.599483	0.014138	8.2
6	-0.200610	0.000000	10.907452	0.013669	7.2
7	-0.198214	0.999983	10.411667	0.009859	7.8
8	-0.211001	1.878201	10.011997	0.007849	7.8
9	-0.202270	2.802863	9.623065	0.014404	7.6
10	-0.196873	1.959625	9.976491	0.010235	7.3
11	-0.206291	2.922581	9.574907	0.016940	7.2
12	-0.202857	2.088732	9.920704	0.013229	7.2
13	-0.205017	3.088614	9.508911	0.016033	7.2
14	-0.208948	3.304839	9.424316	0.011203	7.2
15	-0.211971	2.461593	9.763040	0.014669	6.6
16	-0.210775	1.710604	10.085883	0.016800	6.8
17	-0.207207	0.883812	10.466937	0.013520	7.5
18	-0.214616	1.883812	10.009542	0.007592	7.3
19	-0.205805	2.009376	9.954919	0.009891	8.2
20	-0.207169	3.008344	9.540703	0.011688	8.3
21	-0.210467	3.324985	9.416511	0.012594	6.9
22	-0.207050	4.324984	9.044684	0.009922	6.9
23	-0.201652	5.324739	8.701187	0.011550	7.2
24	-0.204892	6.305890	8.388537	0.009558	7.3
25	-0.210119	6.180635	8.427194	0.010929	7.4
26	-0.207749	6.733803	8.259108	0.012441	7.1
27	-0.206669	7.679467	7.986776	0.013551	6.9
28	-0.201092	8.661443	7.722365	0.009051	7.9
29	-0.203380	7.820224	7.947769	0.017219	8.7
30	-0.207975	6.986557	8.184518	0.011691	6.9
31	-0.208746	6.143312	8.438782	0.010800	6.8
32	-0.203989	7.053764	8.164911	0.010672	7.6
33	-0.205979	8.049798	7.884960	0.013224	7.2
34	-0.210584	7.327089	8.086129	0.012175	7.3
35	-0.210065	8.327085	7.810408	0.015058	7.6
36	-0.207446	9.039694	7.625127	0.009893	6.9
37	-0.207477	8.347662	7.804931	0.014028	7.3
38	-0.204333	7.511555	8.033813	0.009053	6.8
39	-0.207691	7.096047	8.152623	0.009399	6.9
40	-0.205475	8.094658	7.872802	0.012686	7.9
41	-0.206208	8.041068	7.887330	0.011645	7.2
42	-0.207853	7.199280	8.122778	0.011220	6.8
43	-0.205778	6.357756	8.372634	0.013356	7.8
44	-0.213161	5.514763	8.638828	0.010635	7.5
45	-0.205813	6.514379	8.324974	0.020149	7.4
46	-0.210115	7.514379	8.033017	0.009946	7.5
47	-0.203053	6.731210	8.259881	0.014851	7.3
48	-0.211068	7.106800	8.149504	0.013282	7.4
49	-0.211672	8.106788	7.869521	0.017014	6.9
50	-0.209608	7.263548	8.104308	0.015185	8.2
51	-0.211195	8.263411	7.827402	0.014221	6.7
52	-0.206425	9.220913	7.579403	0.010714	7.1
53	-0.213101	10.220795	7.336664	0.007785	7.0
54	-0.207838	9.403539	7.533876	0.019335	7.0
55	-0.212956	10.241849	7.331720	0.011426	7.2
