1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.277297	0.000000	2.719883	0.057546	6677.9
1	-0.273405	0.000000	2.719883	0.068445	9.2
2	-0.279654	1.000000	2.596252	0.044686	10.9
3	-0.277718	2.000000	2.483371	0.048171	11.5
4	-0.276184	2.999984	2.379899	0.028821	11.1
5	-0.276392	2.135628	2.468813	0.025574	8.1
6	-0.283448	3.135453	2.366541	0.045663	16.7
7	-0.275812	2.433183	2.437464	0.050918	10.1
8	-0.281502	1.503942	2.538112	0.028906	10.9
9	-0.279000	2.503942	2.430126	0.045348	12.3
10	-0.285503	1.574709	2.530156	0.057457	8.5
11	-0.283539	2.401757	2.440737	0.045210	9.2
12	-0.274482	3.401738	2.340716	0.053217	12.8
13	-0.272510	2.472497	2.433381	0.055388	13.4
14	-0.287122	3.472497	2.333948	0.060902	10.4
15	-0.280316	4.472497	2.242322	0.033524	13.5
16	-0.272878	5.472497	2.157618	0.061760	10.3
17	-0.285636	4.544004	2.236045	0.039831	9.5
18	-0.286977	5.544004	2.151806	0.036586	11.4
19	-0.261251	6.541429	2.073877	0.050266	9.8
20	-0.284429	7.541429	2.001215	0.026905	17.7
21	-0.291907	8.489509	1.936876	0.043774	12.2
22	-0.292756	9.468588	1.874637	0.054183	9.3
23	-0.275823	10.452358	1.816002	0.028688	14.8
24	-0.276397	11.112947	1.778645	0.058092	12.4
25	-0.286358	12.112945	1.724931	0.060636	14.9
26	-0.288292	13.112945	1.674365	0.040202	9.8
27	-0.290658	12.183703	1.721253	0.049323	10.8
28	-0.291125	13.167790	1.671678	0.051468	8.2
29	-0.284858	14.164001	1.624318	0.077716	10.7
30	-0.286578	13.234760	1.668408	0.066277	15.6
31	-0.273643	14.234760	1.621056	0.049280	9.2
32	-0.280386	15.234760	1.576319	0.050038	8.6
33	-0.287241	16.234760	1.533984	0.056775	13.4
34	-0.281497	15.305518	1.573247	0.021677	14.7
35	-0.280506	14.380362	1.614385	0.031283	9.8
36	-0.287433	13.652801	1.648280	0.056609	13.7
37	-0.287537	14.651796	1.602094	0.032820	9.6
38	-0.278764	13.722614	1.644966	0.047257	11.6
39	-0.282217	14.357460	1.615431	0.058236	14.1
40	-0.278171	15.357460	1.570999	0.076662	10.3
41	-0.282201	16.357460	1.528946	0.043592	13.5
42	-0.273486	15.434422	1.567681	0.047917	11.5
43	-0.286156	16.434422	1.525802	0.026392	9.1
44	-0.272165	17.433455	1.486141	0.063598	16.5
45	-0.273356	17.761961	1.473546	0.031099	13.5
46	-0.279393	16.832722	1.509739	0.028359	111.5
47	-0.285937	17.831935	1.470891	0.036774	180.2
48	-0.278356	18.831912	1.433964	0.075646	194.5
49	-0.275115	19.831326	1.398866	0.078328	27.5
50	-0.276065	20.810219	1.366114	0.044960	13.5
51	-0.283980	19.880977	1.397167	0.040944	11.8
52	-0.279221	20.877963	1.363904	0.057851	32.9
53	-0.281194	21.877963	1.332095	0.038093	85.3
54	-0.277861	22.672620	1.307857	0.058092	28.8
55	-0.280485	22.817365	1.303537	0.046435	40.1
56	-0.280597	21.888279	1.331775	0.062311	36.4
57	-0.266740	20.959038	1.361269	0.054842	35.1
58	-0.276427	20.033783	1.391964	0.050986	14.0
59	-0.287887	21.033783	1.358848	0.034297	11.5
60	-0.284544	22.033499	1.327281	0.091357	12.1
61	-0.289187	22.196769	1.322264	0.033795	8.9
62	-0.280622	21.267583	1.351332	0.050335	9.2
63	-0.286898	20.581295	1.373635	0.065254	9.0
64	-0.277561	19.652584	1.405016	0.064823	10.7
65	-0.286143	20.652584	1.371284	0.057642	27.7
66	-0.288710	21.652584	1.339134	0.059780	68.2
67	-0.283457	22.652584	1.308457	0.058629	72.3
68	-0.281046	23.652584	1.279154	0.034178	27.9
69	-0.275797	22.974986	1.298864	0.055556	15.1
70	-0.285175	23.682076	1.278310	0.044285	13.2
71	-0.281448	22.752834	1.305459	0.052790	13.5
72	-0.279701	23.587047	1.281034	0.059447	10.8
73	-0.279358	24.583981	1.253018	0.031402	15.6
74	-0.284374	25.583981	1.226120	0.047532	10.8
75	-0.281333	26.259976	1.208582	0.036314	11.1
76	-0.278430	27.187377	1.185322	0.076991	19.7
77	-0.286263	28.187362	1.161224	0.070305	43.9
78	-0.287836	27.258121	1.183584	0.048761	30.9
79	-0.275795	26.328879	1.206822	0.040257	7.8
80	-0.279928	25.613837	1.225334	0.043585	30.8
