1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.168039	0.000000	18.966634	0.008494	6286.4
1	-0.171789	0.000000	18.966634	0.010868	37.9
2	-0.167833	0.000000	18.966634	0.008011	13.9
3	-0.169750	0.999999	18.104515	0.011733	20.7
4	-0.172105	0.198689	18.788865	0.005590	37.1
5	-0.172166	0.000000	18.966634	0.010328	20.5
6	-0.169245	0.000000	18.966634	0.010984	16.3
7	-0.170560	0.998305	18.105909	0.011089	39.8
8	-0.169836	1.998305	17.318637	0.009204	22.7
9	-0.172243	2.998305	16.596977	0.005523	40.7
10	-0.178462	2.199068	17.168764	0.005662	31.3
11	-0.162544	2.010280	17.309625	0.008069	16.9
12	-0.170003	2.940245	16.637228	0.008603	58.9
13	-0.170288	2.138934	17.213382	0.012096	14.6
14	-0.170461	3.138905	16.500306	0.010394	19.4
15	-0.167024	2.770630	16.755943	0.011299	26.2
16	-0.163100	3.770625	16.079502	0.007984	22.6
17	-0.170306	4.770625	15.455555	0.004923	23.1
18	-0.171766	4.212021	15.797992	0.008716	27.9
19	-0.169307	5.211226	15.195753	0.005496	18.1
20	-0.173149	5.624477	14.959893	0.007227	25.4
21	-0.164492	6.557747	14.453261	0.008289	37.6
22	-0.170082	7.487854	13.981373	0.007033	18.8
23	-0.170484	8.477427	13.512011	0.009990	31.8
24	-0.173249	7.775292	13.841712	0.010685	39.9
25	-0.173348	8.775292	13.376840	0.005921	15.6
26	-0.171952	9.775275	12.942185	0.007932	34.2
27	-0.175647	8.976647	13.286987	0.006040	22.3
28	-0.167912	9.890979	12.893709	0.008925	24.5
29	-0.171960	9.999654	12.848508	0.010722	52.5
30	-0.174319	10.998151	12.447573	0.010056	20.4
31	-0.169859	10.196839	12.767297	0.008357	21.5
32	-0.169071	11.196701	12.370811	0.009044	45.1
33	-0.168854	10.395401	12.686550	0.011194	16.7
34	-0.173794	11.394907	12.295121	0.010614	24.0
35	-0.170014	12.394676	11.927030	0.009572	39.5
36	-0.179174	13.378820	11.585602	0.008978	18.8
37	-0.170977	12.577508	11.862087	0.006028	10.5
38	-0.173693	11.784874	12.148874	0.013061	36.4
39	-0.173231	11.447337	12.275254	0.006735	23.3
40	-0.171401	12.217579	11.990618	0.009478	27.4
41	-0.171027	13.217266	11.640302	0.008027	41.5
42	-0.165805	14.146545	11.332531	0.013936	12.1
43	-0.171781	13.711069	11.474706	0.005382	34.3
44	-0.168552	14.623914	11.180672	0.008301	31.8
45	-0.179079	15.623898	10.875394	0.007466	10.4
46	-0.166972	16.481625	10.626522	0.010142	17.3
47	-0.178874	15.768936	10.832495	0.015638	42.4
48	-0.170714	14.977647	11.070744	0.006412	17.8
49	-0.172634	14.258233	11.296633	0.010595	21.9
50	-0.168068	15.077622	11.040066	0.009641	45.9
51	-0.170301	14.276311	11.290844	0.009628	13.3
52	-0.171954	13.475073	11.553255	0.005399	22.8
53	-0.172592	13.815758	11.440202	0.006354	46.1
54	-0.169872	14.210218	11.312038	0.006784	17.3
55	-0.169464	15.139639	11.021120	0.011452	22.9
56	-0.168443	16.139595	10.724385	0.007173	41.5
57	-0.174054	17.139214	10.443301	0.009216	22.4
58	-0.171921	18.129181	10.179086	0.006769	29.5
59	-0.173106	19.078184	9.938058	0.006114	36.1
60	-0.170834	18.317443	10.130346	0.009867	21.2
61	-0.166212	17.518248	10.340536	0.007722	48.8
