1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
0	-0.328697	-0.328697	0.000000	0.000000	1549.707054	0.001629	0.000000	0.001629	73.6	99.0	2154.2
1	-0.320390	-0.320390	0.000000	0.000000	1549.707054	0.000968	0.000000	0.000968	76.2	111.8	189.3
2	-0.327667	-0.327667	0.000000	0.000000	1549.707054	0.001198	0.000000	0.001198	45.8	119.4	166.4
3	-0.329235	-0.329235	0.000000	0.000000	1549.707054	0.000934	0.000000	0.000934	49.9	94.0	145.2
4	-0.335937	-0.335937	0.000000	0.000000	1549.707054	0.000887	0.000000	0.000887	67.0	128.5	196.7
5	-0.328143	-0.328143	0.000000	0.000000	1549.707054	0.000851	0.000000	0.000851	46.3	133.4	181.0
6	-0.327552	-0.327552	0.000000	0.000000	1549.707054	0.000463	0.000000	0.000463	37.1	119.3	160.7
7	-0.336286	-0.336286	0.000000	0.000000	1549.707054	0.000554	0.000000	0.000554	70.4	133.2	204.8
8	-0.333795	-0.333795	0.000000	0.000000	1549.707054	0.000508	0.000000	0.000508	46.0	127.7	175.6
9	-0.329772	-0.329772	0.000000	0.000000	1549.707054	0.000506	0.000000	0.000506	66.8	140.4	208.3
10	-0.342002	-0.342002	0.000000	0.000000	1549.707054	0.000504	0.000000	0.000504	74.6	141.0	216.7
11	-0.330803	-0.330803	0.000000	0.000000	1549.707054	0.000517	0.000000	0.000517	43.2	97.0	147.7
12	-0.337990	-0.337990	0.000000	0.000000	1549.707054	0.000506	0.000000	0.000506	52.7	107.2	161.2
13	-0.341984	-0.341984	0.000000	0.000000	1549.707054	0.000444	0.000000	0.000444	35.3	138.2	175.8
14	-0.334876	-0.334876	0.000000	0.000000	1549.707054	0.000398	0.000000	0.000398	53.0	97.6	151.9
15	-0.339024	-0.339024	0.000000	0.000000	1549.707054	0.000462	0.000000	0.000462	50.4	108.2	159.7
16	-0.338037	-0.338037	0.000000	0.000000	1549.707054	0.000692	0.000000	0.000692	52.3	107.4	160.9
17	-0.328073	-0.328073	0.000000	0.999995	1479.266147	0.000381	0.000000	0.000381	39.8	114.1	155.4
18	-0.336479	-0.336479	0.000000	0.936751	1483.530877	0.000581	0.000000	0.000581	50.7	121.6	173.5
19	-0.335539	-0.335539	0.000000	0.873508	1487.820268	0.000265	0.000000	0.000265	57.7	95.9	155.0
20	-0.338924	-0.338924	0.000000	0.810264	1492.134535	0.000584	0.000000	0.000584	49.7	93.6	144.3
21	-0.333517	-0.333517	0.000000	0.747020	1496.473887	0.000679	0.000000	0.000679	57.5	128.5	187.7
22	-0.340473	-0.340473	0.000000	1.747020	1430.686199	0.000497	0.000000	0.000497	57.7	116.0	174.8
23	-0.337733	-0.337733	0.000000	2.747020	1370.439222	0.000325	0.000000	0.000325	55.5	139.4	196.1
24	-0.340288	-0.340288	0.000000	2.683786	1374.098195	0.000542	0.000000	0.000542	58.5	123.4	183.0
25	-0.332710	-0.332710	0.000000	2.620543	1377.777327	0.000308	0.000000	0.000308	20.5	134.4	156.8
26	-0.337950	-0.337950	0.000000	2.594921	1379.273449	0.000316	0.000000	0.000316	36.6	130.0	167.6
27	-0.335156	-0.335156	0.000000	2.531677	1382.980379	0.000321	0.000000	0.000321	50.8	120.8	173.1
28	-0.335912	-0.335912	0.000000	2.468434	1386.707293	0.000295	0.000000	0.000295	50.0	119.2	170.5
29	-0.328413	-0.328414	0.000000	2.405190	1390.454349	0.000303	0.000000	0.000303	20.8	113.1	135.1
30	-0.335657	-0.335657	0.000000	2.341946	1394.221707	0.000406	0.000000	0.000406	47.3	103.7	152.2
31	-0.340402	-0.340402	0.000000	2.282201	1397.799472	0.000372	0.000000	0.000372	55.8	124.7	181.5
32	-0.339120	-0.339120	0.000000	2.218957	1401.606795	0.000405	0.000000	0.000405	36.7	76.2	113.9
33	-0.330964	-0.330964	0.000000	2.155716	1405.434776	0.000302	0.000000	0.000302	67.8	103.1	172.0
34	-0.344573	-0.344574	0.000000	2.092472	1409.283863	0.000425	0.000000	0.000425	25.1	115.9	142.3
35	-0.337497	-0.337497	0.000000	2.029228	1413.154091	0.000319	0.000000	0.000319	72.3	111.6	185.0
36	-0.334859	-0.334859	0.000000	1.965985	1417.045634	0.000452	0.000000	0.000452	46.5	80.6	128.3
37	-0.346114	-0.346114	0.000000	1.902741	1420.958668	0.000323	0.000000	0.000323	63.3	71.6	136.0
38	-0.335356	-0.335356	0.000000	1.839497	1424.893375	0.000320	0.000000	0.000320	40.4	87.1	128.7
39	-0.333938	-0.333938	0.000000	1.776253	1428.849934	0.000312	0.000000	0.000312	70.3	96.2	167.6
40	-0.333517	-0.333517	0.000000	1.713018	1432.828011	0.000372	0.000000	0.000372	61.9	96.0	159.0
41	-0.340239	-0.340239	0.000000	1.649774	1436.828819	0.000328	0.000000	0.000328	59.7	80.4	141.2
42	-0.327993	-0.327993	0.000000	1.586530	1440.852030	0.000322	0.000000	0.000322	68.7	89.5	159.7
43	-0.343521	-0.343521	0.000000	1.523287	1444.897825	0.000558	0.000000	0.000558	67.3	92.7	161.2
44	-0.342380	-0.342380	0.000000	1.460043	1448.966390	0.000303	0.000000	0.000303	46.3	110.2	157.5
45	-0.340930	-0.340931	0.000000	1.396800	1453.057958	0.000337	0.000000	0.000337	24.4	117.5	143.1
46	-0.342270	-0.342270	0.000000	1.333556	1457.172700	0.000500	0.000000	0.000500	63.3	133.0	197.7
47	-0.335689	-0.335689	0.000000	1.270327	1461.309835	0.000410	0.000000	0.000410	39.4	120.6	161.0
48	-0.339567	-0.339567	0.000000	2.268983	1398.593505	0.000366	0.000000	0.000366	67.1	101.5	170.1
49	-0.337574	-0.337574	0.000000	2.205739	1402.405159	0.000322	0.000000	0.000322	41.9	172.0	215.0
