1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
0	-0.383374	-0.383401	0.000005	0.000000	598.021776	0.009567	0.000000	0.009567	62.9	132.4	13662.3
1	-0.384651	-0.384678	0.000005	0.000000	598.021776	0.009929	0.000000	0.009929	25.8	89.5	118.4
2	-0.378283	-0.378309	0.000005	0.977103	571.433703	0.009387	0.000000	0.009387	45.0	110.1	157.7
3	-0.391545	-0.391573	0.000006	1.977093	546.564238	0.010429	0.000000	0.010429	56.9	124.2	183.5
4	-0.392068	-0.392097	0.000006	1.068254	569.073445	0.009639	0.000000	0.009639	53.6	158.9	215.2
5	-0.389597	-0.389626	0.000006	2.068254	544.404329	0.008817	0.000000	0.008817	79.8	107.0	196.3
6	-0.391306	-0.391335	0.000006	1.159414	566.732368	0.008930	0.000000	0.008930	39.1	116.8	158.7
7	-0.390637	-0.390667	0.000006	1.706649	553.074012	0.010162	0.000000	0.010162	63.3	125.0	191.2
8	-0.388275	-0.388305	0.000006	2.704911	529.782930	0.009799	0.000000	0.009799	26.0	94.8	125.8
9	-0.383933	-0.383964	0.000006	3.704911	508.338505	0.010118	0.000000	0.010118	56.6	100.0	161.2
10	-0.393723	-0.393753	0.000006	4.704911	488.562575	0.008997	0.000000	0.008997	44.5	113.8	162.9
11	-0.380380	-0.380411	0.000006	3.796071	506.469649	0.011205	0.000000	0.011204	53.8	102.2	158.6
12	-0.386844	-0.386875	0.000006	4.794856	486.858972	0.011050	0.000000	0.011051	65.3	117.4	185.3
13	-0.383351	-0.383383	0.000006	5.794856	468.689105	0.009843	0.000000	0.009843	62.6	115.3	184.9
14	-0.378866	-0.378899	0.000006	4.886041	485.143999	0.011351	0.000000	0.011351	49.6	109.1	161.2
15	-0.384567	-0.384600	0.000007	5.875800	467.277527	0.012883	0.000000	0.012883	47.9	94.5	148.6
16	-0.385048	-0.385083	0.000007	6.875800	450.514688	0.011556	0.000000	0.011556	61.2	105.2	169.7
17	-0.394100	-0.394136	0.000007	7.342677	443.093550	0.009624	0.000000	0.009624	53.6	117.9	174.0
18	-0.395406	-0.395441	0.000007	8.137672	431.004134	0.009329	0.000000	0.009329	64.1	108.2	174.7
19	-0.390051	-0.390087	0.000007	7.228839	444.880399	0.009923	0.000000	0.009923	46.9	91.6	141.0
20	-0.389139	-0.389176	0.000007	6.320100	459.678300	0.009949	0.000000	0.009948	35.6	150.9	188.9
21	-0.395282	-0.395320	0.000008	7.319863	443.450499	0.010558	0.000000	0.010558	45.5	151.7	200.7
22	-0.391058	-0.391097	0.000008	8.319829	428.326420	0.010240	0.000000	0.010240	56.8	137.3	196.9
23	-0.391792	-0.391831	0.000008	9.319829	414.199480	0.010541	0.000000	0.010541	55.7	113.5	172.2
24	-0.392992	-0.393031	0.000008	10.319828	400.974653	0.009415	0.000000	0.009414	36.8	156.0	195.3
25	-0.380999	-0.381039	0.000008	9.411018	412.957473	0.008985	0.000000	0.008985	66.5	130.0	198.9
26	-0.384317	-0.384357	0.000008	10.407860	399.850773	0.008877	0.000000	0.008877	47.5	114.7	164.8
27	-0.384482	-0.384522	0.000008	11.407028	387.522653	0.009538	0.000000	0.009537	73.2	126.7	210.5
28	-0.385125	-0.385165	0.000008	12.406994	375.922999	0.009480	0.000000	0.009480	47.4	122.9	172.7
29	-0.388359	-0.388400	0.000008	13.406994	364.997227	0.011765	0.000000	0.011765	46.0	142.7	192.1
30	-0.393035	-0.393076	0.000008	14.406989	354.688656	0.010347	0.000000	0.010347	50.8	109.4	162.8
31	-0.384746	-0.384787	0.000008	13.498728	364.026675	0.010302	0.000000	0.010302	45.3	142.7	190.7
32	-0.391204	-0.391245	0.000008	12.689778	372.767584	0.011116	0.000000	0.011116	53.8	117.4	174.5
33	-0.382829	-0.382870	0.000008	11.780941	383.102401	0.008333	0.000000	0.008333	35.2	128.2	166.5
34	-0.391258	-0.391299	0.000008	10.914573	393.502278	0.011602	0.000000	0.011602	70.7	144.0	217.9
35	-0.389460	-0.389503	0.000008	11.914573	381.547019	0.010572	0.000000	0.010572	75.6	124.1	202.2
36	-0.393497	-0.393539	0.000008	12.914573	370.296781	0.010143	0.000000	0.010143	60.6	171.3	239.6
37	-0.393112	-0.393154	0.000008	12.008922	380.456448	0.009869	0.000000	0.009869	116.6	187.2	306.8
38	-0.388869	-0.388912	0.000009	13.008922	369.269488	0.009918	0.000000	0.009918	40.1	146.8	189.7
39	-0.390275	-0.390318	0.000009	12.126597	379.104964	0.009644	0.000000	0.009644	27.1	141.8	171.9
40	-0.392459	-0.392502	0.000009	12.027820	380.238764	0.012016	0.000000	0.012016	33.3	98.4	135.4
41	-0.388825	-0.388867	0.000009	11.118982	390.997990	0.009940	0.000000	0.009939	61.4	115.1	179.3
42	-0.394906	-0.394950	0.000009	10.210142	402.383856	0.009071	0.000000	0.009071	45.7	134.7	183.0
43	-0.386357	-0.386401	0.000009	9.308565	414.353409	0.008617	0.000000	0.008617	70.0	215.6	288.5
44	-0.378968	-0.379012	0.000009	10.241555	401.979261	0.009889	0.000000	0.009889	55.4	137.3	195.6
45	-0.395360	-0.395404	0.000009	10.978984	392.709704	0.009372	0.000000	0.009372	65.3	122.0	190.5
46	-0.394572	-0.394617	0.000009	10.070160	404.196739	0.009498	0.000000	0.009498	32.5	137.1	172.4
47	-0.393517	-0.393563	0.000009	11.070160	391.593224	0.010027	0.000000	0.010027	42.1	145.7	200.5
48	-0.392840	-0.392886	0.000009	10.161999	403.005504	0.010100	0.000000	0.010100	41.7	138.8	186.5
49	-0.394782	-0.394828	0.000009	11.161728	390.478310	0.009599	0.000000	0.009599	60.7	154.0	217.9
50	-0.386427	-0.386474	0.000009	12.161619	378.704588	0.011670	0.000000	0.011670	53.0	121.5	177.4
51	-0.386988	-0.387035	0.000010	13.161612	367.618994	0.008316	0.000000	0.008316	40.3	100.5	144.2
52	-0.393068	-0.393115	0.000009	14.161562	357.164372	0.010240	0.000000	0.010239	41.2	121.7	165.9
53	-0.398213	-0.398261	0.000010	13.252723	366.641141	0.010671	0.000000	0.010671	38.5	146.6	189.0
54	-0.395114	-0.395162	0.000010	12.346103	376.609448	0.010518	0.000000	0.010518	52.1	87.3	142.0
55	-0.382462	-0.382510	0.000010	11.440065	387.127996	0.009603	0.000000	0.009603	30.4	145.9	180.0
56	-0.392422	-0.392471	0.000010	12.439989	375.552081	0.011533	0.000000	0.011533	45.4	93.1	141.0
57	-0.396369	-0.396418	0.000010	13.439962	364.647824	0.010887	0.000000	0.010887	108.7	100.9	212.5
58	-0.398620	-0.398670	0.000010	14.439962	354.358653	0.010979	0.000000	0.010979	54.8	94.1	151.6
59	-0.380872	-0.380921	0.000010	13.531123	363.685173	0.010017	0.000000	0.010017	59.9	115.5	178.2
60	-0.389417	-0.389468	0.000010	14.531116	353.449559	0.010522	0.000000	0.010522	41.5	147.4	191.7
61	-0.398479	-0.398530	0.000010	13.622366	362.726717	0.010573	0.000000	0.010573	54.9	124.4	181.7
62	-0.399688	-0.399739	0.000010	12.713527	372.505001	0.010105	0.000000	0.010105	48.4	131.0	183.0
63	-0.384274	-0.384327	0.000010	13.713527	361.774170	0.010480	0.000000	0.010480	62.7	105.1	170.7
64	-0.395956	-0.396008	0.000010	14.713527	351.644278	0.009239	0.000000	0.009239	81.4	79.7	164.3
65	-0.400055	-0.400107	0.000010	15.711837	342.081962	0.010168	0.000000	0.010168	55.7	123.0	182.6
66	-0.391697	-0.391748	0.000010	14.802998	350.765527	0.009817	0.000000	0.009817	28.7	145.3	177.4
67	-0.397118	-0.397171	0.000010	15.802996	341.234644	0.009504	0.000000	0.009505	39.2	139.5	182.9
68	-0.392684	-0.392737	0.000011	14.894156	349.874702	0.011459	0.000000	0.011459	32.5	111.7	147.1
69	-0.396604	-0.396657	0.000010	13.985609	358.960664	0.010085	0.000000	0.010085	35.5	121.4	161.0
70	-0.396084	-0.396136	0.000011	13.106679	368.211089	0.008301	0.000000	0.008301	39.4	89.2	131.6
71	-0.398674	-0.398726	0.000011	12.202872	378.234068	0.008797	0.000000	0.008797	43.3	117.0	163.3
72	-0.390301	-0.390354	0.000011	13.202872	367.175521	0.009950	0.000000	0.009951	24.5	139.8	170.8
73	-0.392702	-0.392754	0.000010	12.390461	376.109132	0.010561	0.000000	0.010561	54.7	130.1	188.2
74	-0.400393	-0.400445	0.000010	11.481621	386.632710	0.011252	0.000000	0.011252	61.9	131.9	196.2
75	-0.401213	-0.401266	0.000011	10.572782	397.762141	0.009617	0.000000	0.009617	61.9	120.8	185.6
76	-0.390211	-0.390263	0.000010	11.572782	385.550652	0.011148	0.000000	0.011148	65.1	114.5	182.5
77	-0.391074	-0.391127	0.000011	10.666965	396.579127	0.010385	0.000000	0.010385	49.7	129.5	182.1
78	-0.393801	-0.393854	0.000011	9.758125	408.297229	0.010267	0.000000	0.010267	47.5	98.3	148.7
79	-0.402730	-0.402783	0.000011	10.428105	399.593210	0.010032	0.000000	0.010032	60.4	98.4	161.6
80	-0.381951	-0.382004	0.000011	9.525278	411.411730	0.009417	0.000000	0.009417	100.6	90.7	203.3
81	-0.398765	-0.398819	0.000011	10.524547	398.370743	0.011107	0.000000	0.011107	55.0	91.9	149.7
82	-0.394408	-0.394463	0.000011	11.524547	386.122433	0.010766	0.000000	0.010766	57.5	135.9	196.3
83	-0.394967	-0.395022	0.000011	11.359147	388.096054	0.009214	0.000000	0.009214	59.5	93.3	155.3
84	-0.393925	-0.393981	0.000011	10.450307	399.311115	0.010047	0.000000	0.010047	28.4	100.5	131.4
85	-0.384117	-0.384173	0.000011	11.450304	387.005849	0.009329	0.000000	0.009328	66.9	84.5	155.0
86	-0.387212	-0.387269	0.000011	10.541464	398.157084	0.009642	0.000000	0.009642	56.1	151.7	211.1
87	-0.387803	-0.387861	0.000012	9.632624	409.970011	0.010021	0.000000	0.010020	58.9	115.6	177.1
88	-0.384819	-0.384877	0.000012	10.632307	397.013644	0.009156	0.000000	0.009156	56.7	105.2	171.7
