1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
0	-0.365508	-0.365509	0.000000	0.000000	1789.003584	0.001642	0.000000	0.001642	53.8	127.6	1216.6
1	-0.371947	-0.371948	0.000000	0.000000	1789.003584	0.001059	0.000000	0.001059	74.9	147.4	223.5
2	-0.375384	-0.375385	0.000000	0.000000	1789.003584	0.001316	0.000000	0.001316	40.6	122.3	164.1
3	-0.369442	-0.369442	0.000000	0.000000	1789.003584	0.001574	0.000000	0.001574	58.2	151.9	211.8
4	-0.381014	-0.381014	0.000000	0.000000	1789.003584	0.001731	0.000000	0.001731	78.1	136.4	215.7
5	-0.388030	-0.388031	0.000000	1.000000	1707.685240	0.001405	0.000000	0.001405	67.4	121.0	189.7
6	-0.381027	-0.381028	0.000000	0.485548	1748.574192	0.001502	0.000000	0.001502	56.7	126.1	184.1
7	-0.379381	-0.379382	0.000000	1.448853	1673.540939	0.001838	0.000000	0.001838	87.1	152.0	240.3
8	-0.382467	-0.382467	0.000000	2.448847	1602.171566	0.001475	0.000000	0.001475	77.5	127.8	206.5
9	-0.379702	-0.379703	0.000000	3.448838	1536.640550	0.001576	0.000000	0.001576	73.3	104.8	179.3
10	-0.377516	-0.377517	0.000000	4.448838	1476.258988	0.001250	0.000000	0.001250	67.6	128.6	197.4
11	-0.389396	-0.389397	0.000000	5.448838	1420.443341	0.001311	0.000000	0.001311	51.4	139.2	192.1
12	-0.386993	-0.386994	0.000000	6.448837	1368.694590	0.001823	0.000000	0.001823	37.4	140.3	178.8
13	-0.387773	-0.387774	0.000000	7.448837	1320.583851	0.001440	0.000000	0.001440	40.9	149.0	191.1
14	-0.374119	-0.374119	0.000000	8.448837	1275.740524	0.001457	0.000000	0.001457	45.2	160.0	206.4
15	-0.381157	-0.381158	0.000000	9.448837	1233.842683	0.001617	0.000000	0.001617	29.8	143.0	174.1
16	-0.379934	-0.379934	0.000000	10.448837	1194.609351	0.001497	0.000000	0.001497	76.9	144.2	222.6
17	-0.383595	-0.383596	0.000000	11.448837	1157.794185	0.001599	0.000000	0.001599	79.0	150.0	230.4
18	-0.386304	-0.386305	0.000000	10.934354	1176.447001	0.002701	0.000000	0.002701	71.0	132.0	204.3
19	-0.383698	-0.383699	0.000000	11.934354	1140.726033	0.001704	0.000000	0.001704	109.3	128.8	239.4
20	-0.391951	-0.391952	0.000000	12.934354	1107.110364	0.001349	0.000000	0.001349	68.2	140.0	209.4
21	-0.386185	-0.386185	0.000000	13.934345	1075.419496	0.001082	0.000000	0.001082	82.0	88.3	171.6
22	-0.385640	-0.385641	0.000000	14.934345	1045.492152	0.001249	0.000000	0.001249	66.4	176.1	243.8
23	-0.387115	-0.387116	0.000000	15.934345	1017.185378	0.001028	0.000000	0.001028	69.1	179.5	250.0
24	-0.383174	-0.383175	0.000000	16.933656	990.388980	0.001460	0.000000	0.001460	14.4	108.1	123.7
25	-0.394185	-0.394185	0.000000	16.458174	1002.960677	0.002242	0.000000	0.002242	51.4	97.1	150.0
26	-0.382073	-0.382074	0.000000	17.458174	976.881418	0.002437	0.000000	0.002437	44.1	97.0	142.3
27	-0.388052	-0.388052	0.000000	18.458174	952.124027	0.001137	0.000000	0.001137	57.7	126.8	185.8
28	-0.389163	-0.389164	0.000000	19.458174	928.590488	0.001084	0.000000	0.001084	63.3	108.6	173.2
29	-0.386959	-0.386960	0.000000	18.943692	940.550903	0.000795	0.000000	0.000795	57.1	119.8	178.1
30	-0.375415	-0.375416	0.000000	18.429263	952.822163	0.001167	0.000000	0.001167	39.6	121.8	163.0
31	-0.386058	-0.386059	0.000000	19.429259	929.254601	0.001150	0.000000	0.001150	53.3	151.6	206.1
32	-0.385075	-0.385076	0.000000	20.428024	906.851723	0.001198	0.000000	0.001198	85.4	151.1	237.7
33	-0.380488	-0.380489	0.000000	21.428024	885.477838	0.001478	0.000000	0.001478	88.9	242.1	332.3
34	-0.388576	-0.388577	0.000000	22.428024	865.088289	0.000977	0.000000	0.000977	51.4	143.4	197.0
35	-0.392175	-0.392176	0.000000	22.764615	858.434950	0.001224	0.000000	0.001224	60.1	120.0	189.0
