1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
0	-0.413975	-0.413977	0.000000	0.000000	740.792850	0.004768	0.000000	0.004768	59.5	180.6	4186.6
1	-0.419076	-0.419078	0.000000	0.000000	740.792850	0.003690	0.000000	0.003690	54.9	153.0	209.5
2	-0.425154	-0.425156	0.000000	0.820247	712.945650	0.004012	0.000000	0.004012	32.0	125.5	158.9
3	-0.418277	-0.418280	0.000000	1.820245	681.703882	0.003308	0.000000	0.003308	38.6	116.5	157.0
4	-0.424617	-0.424620	0.000000	0.954975	708.570588	0.003857	0.000000	0.003857	35.6	66.9	104.2
5	-0.429987	-0.429990	0.000000	0.095531	737.438186	0.004015	0.000000	0.004015	49.7	128.2	179.8
6	-0.428395	-0.428398	0.000001	0.000000	740.792850	0.003498	0.000000	0.003498	54.3	131.9	198.9
7	-0.418336	-0.418338	0.000001	0.994302	707.303650	0.003467	0.000000	0.003467	45.1	142.1	189.1
8	-0.427858	-0.427861	0.000001	0.134409	736.081595	0.002915	0.000000	0.002915	56.4	99.5	157.7
9	-0.428450	-0.428453	0.000001	0.000000	740.792850	0.003857	0.000000	0.003857	62.9	119.5	184.0
10	-0.426809	-0.426812	0.000001	0.000000	740.792850	0.004773	0.000000	0.004773	47.7	126.4	175.7
11	-0.429059	-0.429062	0.000001	0.000000	740.792850	0.003898	0.000000	0.003898	32.5	100.5	134.5
12	-0.425861	-0.425864	0.000001	0.000000	740.792850	0.004164	0.000000	0.004164	53.4	75.2	130.1
13	-0.430100	-0.430104	0.000001	0.000000	740.792850	0.003429	0.000000	0.003429	46.6	90.2	138.4
14	-0.425915	-0.425919	0.000001	0.206397	733.582898	0.004227	0.000000	0.004227	67.9	111.6	181.4
15	-0.429451	-0.429455	0.000001	0.000000	740.792850	0.003881	0.000000	0.003881	27.0	141.8	171.7
16	-0.427758	-0.427762	0.000001	0.000000	740.792850	0.004664	0.000000	0.004664	32.7	119.2	154.6
17	-0.434341	-0.434346	0.000001	0.976008	707.892445	0.003201	0.000000	0.003201	74.5	93.7	170.0
18	-0.430757	-0.430761	0.000001	0.110737	736.907008	0.003684	0.000000	0.003684	51.4	97.4	152.9
19	-0.425057	-0.425061	0.000001	1.110732	703.579154	0.003450	0.000000	0.003450	42.9	80.8	125.2
20	-0.433345	-0.433349	0.000001	1.068438	704.927541	0.003301	0.000000	0.003301	63.0	97.3	163.6
21	-0.426852	-0.426856	0.000001	0.371573	727.913180	0.004083	0.000000	0.004083	58.7	86.7	147.1
22	-0.428309	-0.428313	0.000001	0.000000	740.792850	0.004325	0.000000	0.004325	121.3	92.4	215.7
23	-0.420257	-0.420262	0.000001	1.000000	707.120447	0.004073	0.000000	0.004073	89.5	82.3	174.1
24	-0.430802	-0.430807	0.000001	1.999948	676.377623	0.004634	0.000000	0.004634	62.7	95.1	160.0
25	-0.431479	-0.431484	0.000001	2.116497	672.967441	0.003998	0.000000	0.003998	70.1	123.9	195.9
26	-0.434351	-0.434356	0.000001	1.251226	699.136750	0.004011	0.000000	0.004011	50.8	118.4	170.9
27	-0.430906	-0.430911	0.000001	1.020758	706.453887	0.004491	0.000000	0.004491	75.9	132.1	209.8
28	-0.420955	-0.420960	0.000001	2.020734	675.766877	0.004186	0.000000	0.004186	31.7	154.3	187.5
29	-0.434088	-0.434092	0.000001	1.155478	702.158154	0.003705	0.000000	0.003705	56.9	121.6	180.2
30	-0.429200	-0.429205	0.000001	0.291105	730.664270	0.004999	0.000000	0.004999	51.9	136.4	190.0
31	-0.430067	-0.430072	0.000001	1.291105	697.885982	0.003670	0.000000	0.003670	32.0	128.9	162.5
32	-0.422972	-0.422978	0.000001	0.425996	726.064261	0.002977	0.000000	0.002977	58.7	110.2	170.3
33	-0.442367	-0.442373	0.000001	0.000000	740.792850	0.004245	0.000000	0.004245	48.5	85.8	136.0
34	-0.428415	-0.428421	0.000001	0.000000	740.792850	0.003712	0.000000	0.003712	39.3	117.9	159.5
35	-0.424329	-0.424335	0.000001	0.000000	740.792850	0.004147	0.000000	0.004147	41.4	127.7	170.7
