1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.562072	0.000000	12.008328	0.029155	104.8
1	-0.564587	0.000000	12.008328	0.026797	14.7
2	-0.574967	0.000000	12.008328	0.027795	7.0
3	-0.568564	1.000000	11.462495	0.025535	12.4
4	-0.574432	2.000000	10.964125	0.020497	8.9
5	-0.571788	2.968911	10.520915	0.014475	10.6
6	-0.578068	2.914436	10.544881	0.015769	15.8
7	-0.576708	3.914436	10.121637	0.010334	11.4
8	-0.570703	3.859962	10.143816	0.019262	9.1
9	-0.588483	3.805488	10.166093	0.027076	13.6
10	-0.580905	4.805488	9.772142	0.017440	18.0
11	-0.579571	5.805488	9.407584	0.020760	11.2
12	-0.584614	6.804090	9.069705	0.025370	9.9
13	-0.585930	7.804090	8.754829	0.024963	10.1
14	-0.581830	8.804090	8.461083	0.017431	14.2
15	-0.586560	9.804090	8.186409	0.021531	13.1
16	-0.577532	10.804090	7.929008	0.026574	9.0
17	-0.574025	11.804090	7.687300	0.027602	7.7
18	-0.579948	12.804090	7.459893	0.021502	9.7
19	-0.584091	13.804090	7.245553	0.019664	11.5
20	-0.578719	14.804090	7.043187	0.023553	7.9
21	-0.575957	15.804090	6.851817	0.017308	12.0
22	-0.579087	16.804090	6.670571	0.011360	10.7
23	-0.581587	17.804090	6.498668	0.011106	12.2
24	-0.580466	18.804090	6.335401	0.015308	10.2
25	-0.577068	19.804090	6.180137	0.022836	11.0
26	-0.577130	20.804090	6.032302	0.028451	7.9
27	-0.584644	21.804090	5.891374	0.028715	9.5
28	-0.568347	22.804090	5.756880	0.026568	9.5
29	-0.583301	23.804090	5.628390	0.028466	10.9
30	-0.576836	24.804090	5.505510	0.022721	11.0
31	-0.582679	25.804090	5.387881	0.018704	13.1
32	-0.573502	26.804090	5.275174	0.015601	12.2
33	-0.584128	27.804090	5.167085	0.015012	12.6
34	-0.581756	28.804090	5.063337	0.014022	12.9
35	-0.573810	29.804090	4.963673	0.011531	12.4
36	-0.588196	30.804090	4.867857	0.007927	13.0
37	-0.584879	31.804090	4.775670	0.008230	9.0
38	-0.584470	32.804090	4.686909	0.012174	17.1
39	-0.581084	33.804090	4.601388	0.019002	12.6
40	-0.580251	34.804090	4.518932	0.020958	12.3
41	-0.583841	35.804090	4.439379	0.016342	10.7
42	-0.583099	36.804090	4.362579	0.014582	12.5
43	-0.587109	37.804090	4.288390	0.010556	9.9
44	-0.581011	38.804090	4.216683	0.011222	10.7
45	-0.582174	39.804090	4.147334	0.015409	9.1
46	-0.581470	40.804090	4.080230	0.014639	7.1
47	-0.579717	41.804090	4.015262	0.011183	6.8
48	-0.585873	42.804090	3.952331	0.015513	8.1
49	-0.585213	43.804090	3.891342	0.023473	8.9
50	-0.582784	44.804090	3.832207	0.023413	8.2
51	-0.590124	45.804090	3.774842	0.018244	7.3
52	-0.582066	46.804090	3.719169	0.008467	8.4
53	-0.584973	47.804090	3.665115	0.010231	12.0
54	-0.587259	47.749615	3.668019	0.009286	8.7
55	-0.587386	48.749615	3.615430	0.005411	12.8
56	-0.585969	48.695141	3.618256	0.011381	14.9
57	-0.581392	49.550065	3.574410	0.007826	14.4
58	-0.574225	50.550065	3.524454	0.008236	11.2
59	-0.583753	51.550065	3.475874	0.006555	12.3
60	-0.573108	52.523822	3.429839	0.013661	15.7
61	-0.583676	53.523821	3.383816	0.017048	8.8
62	-0.586776	54.523821	3.339011	0.013625	9.8
63	-0.579731	55.523821	3.295378	0.013078	13.5
64	-0.578185	56.523821	3.252870	0.010024	11.2
65	-0.577249	57.523821	3.211444	0.007345	10.5
66	-0.576271	58.515345	3.171399	0.005310	12.5
67	-0.578994	58.460871	3.173573	0.008073	11.8
68	-0.588956	58.406402	3.175750	0.005864	12.4
69	-0.580567	59.406401	3.136254	0.008137	13.2
70	-0.586503	59.351938	3.138380	0.012432	11.8
71	-0.586756	60.351938	3.099802	0.009067	12.4
72	-0.587495	61.351864	3.062164	0.009630	12.1
73	-0.583131	61.297403	3.064190	0.007703	12.7
74	-0.577514	61.242929	3.066220	0.008153	9.4
75	-0.586186	61.188455	3.068252	0.010804	9.1
76	-0.583476	62.187558	3.031401	0.013039	9.0
77	-0.584470	63.187558	2.995394	0.007721	8.6
78	-0.578322	64.187558	2.960231	0.010440	8.0
79	-0.584031	64.133084	2.962126	0.011383	9.1
80	-0.585940	64.078610	2.964022	0.006279	15.2
81	-0.583007	64.925922	2.934794	0.010134	18.6
82	-0.586003	65.153275	2.927049	0.007222	12.7
83	-0.588853	65.506965	2.915082	0.011660	13.9
84	-0.585067	65.452491	2.916919	0.007724	8.3
85	-0.577770	65.398017	2.918758	0.010419	8.1
86	-0.578861	65.343542	2.920599	0.009405	10.6
87	-0.579603	66.343542	2.887161	0.010694	11.6
88	-0.589633	66.289068	2.888963	0.005233	11.8
89	-0.587399	67.269055	2.856889	0.006900	12.9
90	-0.578474	68.268830	2.824893	0.007013	11.1
91	-0.583493	69.190768	2.796017	0.006850	9.2
92	-0.581747	69.136294	2.797706	0.007928	11.2
93	-0.585294	70.096464	2.768218	0.010086	10.7
94	-0.581086	71.096464	2.738160	0.009165	12.0
95	-0.580063	72.096463	2.708748	0.008746	11.4
96	-0.582128	72.483763	2.697526	0.012246	12.6
97	-0.585056	73.483763	2.668976	0.007637	10.1
98	-0.590274	74.483763	2.641024	0.007866	11.4
99	-0.586069	74.429312	2.642531	0.006591	12.7
100	-0.591476	75.429281	2.615128	0.007217	8.2
101	-0.588864	75.374812	2.616606	0.006959	14.8
102	-0.585360	75.583213	2.610960	0.006075	10.3
103	-0.588535	75.529797	2.612405	0.007739	9.6
104	-0.587726	75.707149	2.607614	0.008725	9.9
105	-0.583892	76.706716	2.580937	0.005988	13.6
106	-0.578561	77.706632	2.554792	0.005839	10.0
107	-0.577702	77.654873	2.556132	0.008473	10.1
108	-0.581271	78.654868	2.530482	0.010489	9.7
109	-0.591430	79.654868	2.505342	0.009649	10.3
110	-0.571533	80.654868	2.480697	0.006692	12.5
111	-0.575205	80.604269	2.481932	0.009993	10.0
112	-0.591173	80.552334	2.483201	0.013796	8.8
113	-0.584953	81.552334	2.458987	0.007404	9.6
114	-0.583582	82.552320	2.435241	0.007122	10.4
115	-0.584822	82.497845	2.436523	0.003775	10.9
116	-0.585918	83.172536	2.420742	0.009910	13.0
117	-0.580141	83.118201	2.422006	0.009064	13.6
118	-0.591131	84.118201	2.398965	0.006220	8.6
119	-0.583234	85.093592	2.376910	0.007625	7.3
120	-0.585375	85.039118	2.378131	0.006204	17.3
121	-0.586115	84.984643	2.379353	0.009773	20.6
122	-0.582582	85.983049	2.357148	0.007410	11.8
123	-0.592653	85.934607	2.358216	0.006505	17.5
124	-0.583441	85.880133	2.359418	0.007529	9.9
125	-0.584825	85.831388	2.360494	0.008378	11.4
126	-0.586505	85.781116	2.361606	0.012055	10.3
127	-0.590516	86.781116	2.339694	0.010427	11.4
128	-0.587919	87.781089	2.318187	0.005336	9.0
129	-0.589028	88.780822	2.297076	0.007798	8.7
130	-0.589944	88.726846	2.298206	0.005995	10.7
131	-0.584764	88.672372	2.299347	0.006531	9.1
132	-0.588801	89.672330	2.278572	0.007445	6.9
133	-0.585175	89.619329	2.279664	0.004245	11.3
134	-0.582034	89.713786	2.277719	0.005640	10.3
135	-0.588685	90.234727	2.267052	0.008550	7.9
136	-0.585328	91.234069	2.246866	0.007176	10.6
137	-0.585270	92.010238	2.231434	0.005275	12.7
138	-0.591777	92.028343	2.231077	0.009299	11.2
139	-0.588320	91.973880	2.232152	0.008791	12.7
140	-0.584017	92.973879	2.212567	0.007167	13.9
141	-0.580600	92.922301	2.213569	0.013263	7.6
142	-0.580406	93.922290	2.194308	0.013604	10.1
143	-0.583245	94.922290	2.175379	0.007191	11.9
