1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.360425	0.000000	6.828773	0.021108	1016.5
1	-0.354763	0.000000	6.828773	0.017189	13.4
2	-0.354384	0.992780	6.520514	0.029085	18.6
3	-0.350460	0.091671	6.799093	0.015462	11.5
4	-0.341682	1.091671	6.491326	0.013286	19.0
5	-0.358581	0.190582	6.767357	0.024907	16.4
6	-0.351111	0.000000	6.828773	0.028143	9.6
7	-0.354396	0.000000	6.828773	0.024046	30.2
8	-0.353581	1.000000	6.518374	0.020641	18.0
9	-0.350579	0.098890	6.796767	0.024058	11.7
10	-0.356494	1.098849	6.489217	0.012066	13.1
11	-0.355788	2.090364	6.210566	0.016870	16.6
12	-0.355918	1.212017	6.456155	0.024660	13.8
13	-0.347909	0.333826	6.721918	0.011700	12.8
14	-0.359295	0.000000	6.828773	0.030057	8.1
15	-0.351251	1.000000	6.518374	0.019701	14.1
16	-0.350625	1.996227	6.235990	0.025385	11.2
17	-0.346514	2.996203	5.976122	0.014827	11.2
18	-0.351686	2.095202	6.209265	0.010697	9.6
19	-0.354379	3.079419	5.955469	0.017406	12.0
20	-0.362956	2.418985	6.123418	0.019431	14.3
21	-0.351876	1.517876	6.368462	0.028570	12.0
22	-0.352491	0.616790	6.633928	0.022096	11.4
23	-0.369335	1.616790	6.340609	0.014903	7.2
24	-0.335979	2.616789	6.072131	0.017815	7.2
25	-0.352284	3.616764	5.825470	0.019727	7.3
26	-0.359557	2.715802	6.046780	0.022178	9.4
27	-0.352755	3.715797	5.802129	0.020172	10.9
28	-0.355559	3.576309	5.835060	0.016953	8.7
29	-0.361398	2.675199	6.057150	0.016310	10.2
30	-0.350442	3.674284	5.811890	0.015562	10.5
31	-0.359724	3.100274	5.950315	0.017661	10.7
32	-0.357885	3.313761	5.898069	0.012360	11.1
33	-0.353286	2.413006	6.124982	0.021946	14.0
34	-0.355614	1.515219	6.369213	0.028403	13.1
35	-0.353044	0.614118	6.634748	0.019806	11.9
36	-0.350558	1.495354	6.374838	0.023263	13.5
37	-0.344034	0.949647	6.533328	0.012404	10.7
38	-0.351608	1.942115	6.250698	0.016954	8.2
39	-0.357083	2.911506	5.997290	0.013522	8.1
40	-0.356406	3.027217	5.968408	0.019662	12.2
41	-0.361380	2.127227	6.200667	0.015757	8.7
42	-0.356034	3.099099	5.950606	0.014865	7.5
43	-0.354364	4.099089	5.713523	0.021763	8.9
44	-0.345438	3.197980	5.926289	0.012688	9.7
45	-0.351144	2.299775	6.154748	0.010508	11.2
46	-0.353698	3.209826	5.923390	0.017438	8.7
47	-0.345235	4.080447	5.717770	0.020864	11.6
