1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
0	-0.394420	-0.394423	0.000001	0.000000	605.155207	0.003890	0.000000	0.003890	74.3	163.9	4710.6
1	-0.391443	-0.391447	0.000001	0.000000	605.155207	0.003842	0.000000	0.003842	88.0	133.2	223.0
2	-0.384662	-0.384666	0.000001	0.999984	577.648574	0.003094	0.000000	0.003094	136.5	143.4	281.7
3	-0.394107	-0.394111	0.000001	0.096248	602.394303	0.005052	0.000000	0.005052	91.5	135.7	229.2
4	-0.398809	-0.398813	0.000001	0.000000	605.155207	0.004567	0.000000	0.004567	92.5	109.5	204.0
5	-0.398540	-0.398544	0.000001	0.999868	577.651629	0.003932	0.000000	0.003932	78.1	181.2	260.9
6	-0.393505	-0.393509	0.000001	0.939193	579.249161	0.004108	0.000000	0.004108	71.0	125.6	198.3
7	-0.386578	-0.386582	0.000001	1.939193	553.997656	0.003424	0.000000	0.003424	50.2	123.1	175.5
8	-0.392010	-0.392014	0.000001	1.035423	576.719564	0.004394	0.000000	0.004394	74.9	125.8	202.5
9	-0.392942	-0.392946	0.000001	2.035410	551.683665	0.003753	0.000000	0.003753	63.4	147.4	212.6
10	-0.399055	-0.399059	0.000001	3.034308	528.754959	0.003768	0.000000	0.003768	112.6	147.3	262.4
11	-0.401308	-0.401313	0.000001	3.970748	508.925865	0.004508	0.000000	0.004508	73.0	115.4	190.0
12	-0.391741	-0.391746	0.000001	4.970748	489.329746	0.004139	0.000000	0.004140	63.5	154.1	219.6
13	-0.400829	-0.400833	0.000001	5.970748	471.186765	0.004122	0.000000	0.004122	59.3	139.3	200.2
14	-0.401471	-0.401475	0.000001	5.066974	487.523389	0.004233	0.000000	0.004233	52.1	172.6	226.4
15	-0.399814	-0.399818	0.000001	4.163200	505.033519	0.004059	0.000000	0.004059	58.2	176.1	236.7
16	-0.399595	-0.399599	0.000001	5.150650	485.963424	0.004171	0.000000	0.004171	58.3	155.2	216.8
17	-0.397335	-0.397339	0.000001	4.504674	498.271789	0.003896	0.000000	0.003896	66.6	135.5	208.9
18	-0.388813	-0.388817	0.000001	5.504662	479.472607	0.004652	0.000000	0.004651	48.8	99.4	151.5
19	-0.397026	-0.397030	0.000001	4.600888	496.399163	0.004938	0.000000	0.004938	97.1	111.5	210.1
20	-0.395072	-0.395077	0.000001	3.697114	514.564550	0.003760	0.000000	0.003760	68.3	148.4	218.4
21	-0.399590	-0.399595	0.000001	2.793340	534.109937	0.003673	0.000000	0.003673	73.5	171.1	246.3
22	-0.401318	-0.401323	0.000001	3.792512	512.584583	0.004027	0.000000	0.004027	66.8	202.7	271.1
23	-0.404334	-0.404339	0.000001	4.789258	492.773360	0.004216	0.000000	0.004216	64.5	193.0	264.4
24	-0.396063	-0.396068	0.000001	3.885484	510.669563	0.004116	0.000000	0.004116	79.1	171.9	253.3
25	-0.401111	-0.401116	0.000001	4.885452	490.942138	0.003802	0.000000	0.003802	50.2	113.1	165.0
26	-0.411570	-0.411575	0.000001	5.881084	472.758448	0.003603	0.000000	0.003603	63.3	100.5	166.3
27	-0.394732	-0.394737	0.000001	4.977461	489.203289	0.003661	0.000000	0.003661	63.9	132.4	198.8
28	-0.405093	-0.405098	0.000001	5.977461	471.069511	0.004440	0.000000	0.004440	45.8	144.6	192.1
29	-0.401169	-0.401174	0.000001	6.977461	454.232046	0.004304	0.000000	0.004304	58.5	175.8	239.7
30	-0.398083	-0.398088	0.000001	6.094014	469.043071	0.003666	0.000000	0.003666	40.2	100.0	141.9
31	-0.402597	-0.402603	0.000001	5.190240	485.228830	0.004404	0.000000	0.004405	79.3	113.3	194.4
32	-0.399783	-0.399788	0.000001	6.190240	467.383131	0.003872	0.000000	0.003872	69.8	137.6	209.7
33	-0.396148	-0.396153	0.000001	7.189227	450.819724	0.003646	0.000000	0.003646	66.0	158.3	226.1
34	-0.409602	-0.409608	0.000001	6.285470	465.751901	0.004221	0.000000	0.004221	43.8	163.0	208.3
35	-0.406968	-0.406974	0.000001	6.631585	459.917849	0.004396	0.000000	0.004396	44.6	96.0	142.3
36	-0.405639	-0.405645	0.000001	7.631510	443.855711	0.003645	0.000000	0.003645	66.5	143.0	211.2
37	-0.398556	-0.398562	0.000001	6.743455	458.063329	0.004583	0.000000	0.004583	107.6	181.0	290.3
38	-0.405336	-0.405342	0.000001	7.743450	442.127142	0.004159	0.000000	0.004159	66.6	107.3	175.5
39	-0.397299	-0.397304	0.000001	8.737277	427.351142	0.004809	0.000000	0.004809	93.1	111.7	206.8
40	-0.400941	-0.400947	0.000001	9.737277	413.447792	0.005046	0.000000	0.005046	109.2	124.0	234.9
41	-0.405686	-0.405692	0.000001	10.737276	400.420611	0.004586	0.000000	0.004586	65.2	172.6	239.5
42	-0.406714	-0.406720	0.000001	9.833502	412.157511	0.003729	0.000000	0.003729	65.6	195.4	264.2
43	-0.410140	-0.410145	0.000001	10.833502	399.210223	0.003817	0.000000	0.003817	50.8	139.5	191.8
44	-0.407529	-0.407535	0.000001	9.929728	410.875240	0.004834	0.000000	0.004834	50.2	197.5	249.5
45	-0.403413	-0.403419	0.000001	10.929710	398.007347	0.003923	0.000000	0.003923	62.0	211.7	275.4
46	-0.399541	-0.399547	0.000001	11.929710	385.920774	0.004258	0.000000	0.004258	80.2	128.3	210.6
47	-0.399453	-0.399459	0.000001	11.025936	396.811483	0.004226	0.000000	0.004226	71.8	156.2	229.8
48	-0.402030	-0.402036	0.000001	12.025919	384.796540	0.004976	0.000000	0.004975	80.8	175.8	258.4
49	-0.407121	-0.407128	0.000001	13.025767	373.489285	0.004205	0.000000	0.004205	50.5	146.7	200.5
50	-0.407893	-0.407900	0.000001	14.021272	362.872580	0.004105	0.000000	0.004105	79.6	123.4	205.2
51	-0.404331	-0.404337	0.000001	13.351513	369.947591	0.003272	0.000000	0.003272	48.9	157.2	207.6
52	-0.398479	-0.398485	0.000001	14.351503	359.482863	0.004371	0.000000	0.004371	61.6	122.0	185.2
53	-0.407651	-0.407657	0.000001	14.704905	355.924745	0.004189	0.000000	0.004189	92.5	142.7	236.9
54	-0.403972	-0.403978	0.000001	15.674811	346.511922	0.004368	0.000000	0.004368	63.2	137.6	202.6
55	-0.411944	-0.411950	0.000001	14.788707	355.091325	0.003985	0.000000	0.003985	52.6	179.1	233.3
56	-0.403365	-0.403371	0.000001	13.885117	364.288853	0.005252	0.000000	0.005252	50.9	208.0	260.7
57	-0.409206	-0.409213	0.000001	14.877039	354.217064	0.003811	0.000000	0.003811	53.9	164.6	220.0
58	-0.409609	-0.409615	0.000001	14.041169	362.666531	0.004055	0.000000	0.004055	58.8	167.0	230.2
59	-0.408919	-0.408926	0.000001	15.041129	352.604365	0.003828	0.000000	0.003828	73.7	169.5	245.0
60	-0.412049	-0.412056	0.000001	14.137823	361.668947	0.003837	0.000000	0.003837	59.8	125.2	186.6
61	-0.407351	-0.407358	0.000001	15.132303	351.714623	0.004192	0.000000	0.004192	71.6	154.5	228.0
62	-0.410197	-0.410204	0.000001	16.130689	342.257565	0.004353	0.000000	0.004353	60.6	94.0	156.4
63	-0.404673	-0.404680	0.000001	17.130689	333.281659	0.004165	0.000000	0.004165	89.5	169.6	261.5
64	-0.413548	-0.413555	0.000001	16.291020	340.786049	0.003403	0.000000	0.003403	51.1	174.0	227.6
65	-0.402338	-0.402345	0.000001	17.024153	334.215445	0.003578	0.000000	0.003578	90.5	128.9	221.6
66	-0.398599	-0.398606	0.000001	18.023910	325.653150	0.003378	0.000000	0.003378	86.8	164.2	252.7
67	-0.403551	-0.403558	0.000001	19.023910	317.516685	0.003279	0.000000	0.003279	48.3	134.5	193.1
68	-0.409029	-0.409036	0.000001	18.120137	324.852118	0.004374	0.000000	0.004374	41.4	141.1	185.9
69	-0.408257	-0.408264	0.000001	17.693931	328.430300	0.004424	0.000000	0.004424	66.3	145.0	212.8
70	-0.413990	-0.413997	0.000001	18.693931	320.156232	0.004829	0.000000	0.004829	88.1	180.8	273.0
71	-0.405416	-0.405423	0.000001	17.790157	327.615569	0.004670	0.000000	0.004670	90.2	100.5	194.0
72	-0.400769	-0.400776	0.000001	18.790157	319.381988	0.004179	0.000000	0.004179	73.6	121.9	197.2
73	-0.401230	-0.401237	0.000002	19.790157	311.552110	0.003432	0.000000	0.003432	66.4	211.3	279.2
74	-0.408979	-0.408987	0.000001	19.668345	312.485284	0.003971	0.000000	0.003971	56.8	133.8	194.9
75	-0.403931	-0.403939	0.000002	20.668253	304.986616	0.004078	0.000000	0.004078	76.0	144.0	221.8
76	-0.407568	-0.407575	0.000002	19.768530	311.717376	0.003319	0.000000	0.003319	77.7	211.5	291.4
77	-0.409395	-0.409402	0.000002	20.768528	304.254420	0.003907	0.000000	0.003907	115.8	214.5	332.2
78	-0.410268	-0.410275	0.000002	21.768054	297.143734	0.004360	0.000000	0.004360	63.4	150.7	215.7
79	-0.400282	-0.400290	0.000002	22.768043	290.354756	0.003855	0.000000	0.003855	84.7	100.4	187.4
80	-0.410097	-0.410105	0.000002	23.768042	283.868998	0.003871	0.000000	0.003871	63.4	123.6	188.9
81	-0.404015	-0.404023	0.000002	24.768042	277.666658	0.004321	0.000000	0.004321	111.9	101.9	216.1
82	-0.406285	-0.406293	0.000002	25.766422	271.738971	0.003973	0.000000	0.003973	68.5	118.4	188.6
83	-0.410501	-0.410509	0.000002	26.766422	266.050059	0.004009	0.000000	0.004009	53.9	130.5	186.2
84	-0.404875	-0.404883	0.000002	27.766420	260.594471	0.004215	0.000000	0.004215	72.7	136.4	210.6
85	-0.414020	-0.414028	0.000002	28.766409	255.358172	0.004204	0.000000	0.004204	45.8	108.6	156.4
86	-0.407181	-0.407189	0.000002	29.766409	250.328111	0.003815	0.000000	0.003815	60.5	178.5	241.1
87	-0.410504	-0.410512	0.000002	30.750144	245.569543	0.004117	0.000000	0.004117	76.7	127.7	211.3
88	-0.401136	-0.401144	0.000002	31.747770	240.925054	0.004347	0.000000	0.004347	91.2	108.4	201.2
89	-0.398160	-0.398168	0.000002	32.747515	236.443661	0.004063	0.000000	0.004063	50.2	170.9	223.1
90	-0.411154	-0.411162	0.000002	33.747515	232.124860	0.004365	0.000000	0.004365	57.7	181.4	240.6
91	-0.409464	-0.409471	0.000002	34.747426	227.961366	0.004503	0.000000	0.004503	83.5	176.4	263.1
92	-0.403189	-0.403197	0.000002	35.747414	223.944290	0.003244	0.000000	0.003244	100.1	253.8	356.5
93	-0.415538	-0.415546	0.000002	36.747409	220.066311	0.003932	0.000000	0.003932	58.4	153.5	213.5
