1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.161286	0.000000	9.919053	0.010005	6668.6
1	-0.159276	0.000000	9.919053	0.008420	11.8
2	-0.156546	0.000000	9.919053	0.012502	32.0
3	-0.164810	0.000000	9.919053	0.011087	14.1
4	-0.163601	0.000000	9.919053	0.009570	19.6
5	-0.162055	0.981789	9.476031	0.011788	31.7
6	-0.162470	1.809141	9.132308	0.012859	38.6
7	-0.162897	0.928740	9.498955	0.008404	16.3
8	-0.162524	1.867211	9.109118	0.010678	38.3
9	-0.167843	0.995193	9.470256	0.010361	26.3
10	-0.164664	1.826166	9.125497	0.011106	23.6
11	-0.166019	2.825559	8.742717	0.009847	39.5
12	-0.163984	3.822680	8.391524	0.016280	13.6
13	-0.160150	4.822673	8.066559	0.010480	21.1
14	-0.164403	3.942271	8.351289	0.010039	55.5
15	-0.165569	4.164840	8.277427	0.014003	11.8
16	-0.159970	5.164840	7.961070	0.015598	19.7
17	-0.163049	6.159226	7.669590	0.009613	37.4
18	-0.155958	7.154114	7.398568	0.010485	14.9
19	-0.158785	8.152735	7.145131	0.010363	37.2
20	-0.160920	8.611203	7.034504	0.009765	25.7
21	-0.162734	7.736720	7.248570	0.008907	21.4
22	-0.163797	6.881196	7.470989	0.010819	59.3
23	-0.160120	6.000804	7.714589	0.012201	14.1
24	-0.156694	6.999550	7.439409	0.016403	18.6
25	-0.164373	6.119148	7.680924	0.006618	14.7
26	-0.163245	7.118482	7.407943	0.011500	29.7
27	-0.164730	6.258795	7.641575	0.009287	12.8
28	-0.168742	7.173781	7.393403	0.016083	16.8
29	-0.166474	8.104628	7.156941	0.012246	26.1
30	-0.158616	7.224258	7.380180	0.014083	44.3
31	-0.163547	6.343856	7.617803	0.011286	12.1
32	-0.161354	5.463790	7.871137	0.010680	21.8
33	-0.157460	6.279885	7.635667	0.013430	28.4
34	-0.164605	7.279289	7.365819	0.011797	22.1
35	-0.166370	8.279288	7.114248	0.005707	21.7
36	-0.166405	9.268700	6.881700	0.009194	39.3
37	-0.160202	9.555184	6.817177	0.010636	23.3
38	-0.166599	10.543115	6.603663	0.012130	25.3
39	-0.165384	11.543002	6.400765	0.011879	39.0
40	-0.163481	12.542109	6.210108	0.011237	16.9
41	-0.157784	11.661729	6.377498	0.010483	19.8
42	-0.167713	11.549174	6.399551	0.013007	38.4
43	-0.168034	10.690617	6.572927	0.010374	21.6
44	-0.157910	11.675715	6.374768	0.013563	17.5
45	-0.165028	11.201876	6.468571	0.010500	51.3
46	-0.162977	12.201330	6.273848	0.009901	42.1
47	-0.159426	13.171743	6.095683	0.010962	98.8
48	-0.162991	12.619125	6.195881	0.013023	20.3
49	-0.162260	12.136104	6.286198	0.011890	40.5
50	-0.165826	13.135933	6.102078	0.013459	58.4
51	-0.166006	12.308209	6.253717	0.005718	20.1
52	-0.163767	11.840974	6.342690	0.018479	42.3
53	-0.162258	11.032113	6.502853	0.006257	18.2
54	-0.162034	10.234273	6.668960	0.011246	16.9
55	-0.160936	9.501464	6.829184	0.010277	11.7
56	-0.165455	9.657945	6.794327	0.016001	19.2
57	-0.162554	9.922669	6.736162	0.012703	52.0
58	-0.162175	10.435630	6.626243	0.014719	11.6
59	-0.163593	9.555228	6.817168	0.010447	39.3
60	-0.159683	9.511333	6.826975	0.014923	34.9
61	-0.167222	10.248309	6.665964	0.011055	16.3
62	-0.166777	11.248029	6.459313	0.009376	26.0
63	-0.167415	12.020526	6.308201	0.008010	40.1
64	-0.163807	11.141333	6.480755	0.009452	16.3
65	-0.163569	11.856941	6.339608	0.010097	47.0
66	-0.164894	11.141864	6.480648	0.017401	21.0
67	-0.167458	10.273992	6.660490	0.010673	18.1
68	-0.159555	9.409830	6.849763	0.008844	44.4
69	-0.164282	10.405273	6.632648	0.013670	14.7
70	-0.162870	9.527576	6.823343	0.011190	20.1
71	-0.159427	8.754929	7.000525	0.010092	42.0
72	-0.157913	8.620426	7.032313	0.015221	17.9
73	-0.172057	7.750797	7.245021	0.009330	30.6
74	-0.163390	6.962194	7.449348	0.008169	39.2
75	-0.162005	6.094075	7.688032	0.013158	32.1
76	-0.169297	6.901790	7.465475	0.011571	31.9
77	-0.165174	6.021394	7.708711	0.012053	22.7
78	-0.161691	6.383205	7.606857	0.006663	50.0
79	-0.167298	6.001323	7.714441	0.010221	23.5
80	-0.164774	6.999910	7.439314	0.006478	52.6
81	-0.162420	7.999160	7.182971	0.007159	26.2
82	-0.167096	7.303320	7.359565	0.011611	41.6
83	-0.165868	6.445900	7.589480	0.012626	15.4
84	-0.169035	5.566353	7.840749	0.012658	19.8
85	-0.163348	5.705691	7.799840	0.007609	35.6
86	-0.165039	6.705636	7.518330	0.010703	20.7
87	-0.165039	7.705545	7.256442	0.010402	23.7
88	-0.155199	6.825187	7.486027	0.010263	34.4
89	-0.162237	7.804821	7.231432	0.014884	9.6
90	-0.167192	8.772110	6.996485	0.011922	29.0
91	-0.167669	7.900322	7.207536	0.007721	35.2
92	-0.163930	7.020619	7.433815	0.010439	21.0
93	-0.161626	6.143509	7.674030	0.008804	60.0
94	-0.161375	6.052718	7.699785	0.008164	20.8
95	-0.164507	6.894330	7.467471	0.012349	15.2
96	-0.162575	7.892661	7.209447	0.011660	19.7
97	-0.161818	7.030332	7.431240	0.015765	37.1
98	-0.162233	6.149930	7.672215	0.012166	22.4
99	-0.165428	7.149928	7.399668	0.013648	22.1
100	-0.163092	7.058693	7.423728	0.013306	33.9
101	-0.165546	6.178292	7.664209	0.011588	16.2
102	-0.170364	6.563862	7.557000	0.008094	18.5
103	-0.165174	7.540085	7.298511	0.012377	35.8
104	-0.163912	8.539112	7.051672	0.006934	28.9
105	-0.164203	9.536077	6.821443	0.012104	22.8
106	-0.159966	8.944553	6.956194	0.008420	33.7
107	-0.166654	8.109157	7.155828	0.013668	24.4
108	-0.157863	8.495668	7.062058	0.009872	18.6
109	-0.160802	7.615273	7.279333	0.013109	40.9
110	-0.162327	7.610343	7.280588	0.005597	14.6
111	-0.166492	8.605373	7.035889	0.012568	26.0
112	-0.163082	7.837423	7.223257	0.011952	40.6
113	-0.170461	8.303102	7.108466	0.007880	15.6
114	-0.159060	9.296896	6.875296	0.010715	18.2
115	-0.167923	10.255244	6.664485	0.012206	29.8
116	-0.164544	9.374999	6.857617	0.010161	16.7
117	-0.165993	10.373553	6.639354	0.010296	22.5
118	-0.159994	11.373551	6.434268	0.008113	35.2
119	-0.163554	12.352247	6.245460	0.010005	14.7
120	-0.167483	12.176531	6.278538	0.010350	22.6
121	-0.164765	11.495455	6.410131	0.013883	49.1
122	-0.166353	11.110492	6.486980	0.014349	14.3
123	-0.167496	11.280345	6.452847	0.009847	21.7
124	-0.164898	10.483352	6.616199	0.013412	36.0
125	-0.162946	9.603038	6.806517	0.012596	24.6
126	-0.168896	10.602728	6.591207	0.006875	44.0
127	-0.163740	11.570763	6.395310	0.013200	20.8
128	-0.168387	12.534576	6.211503	0.011215	21.9
129	-0.170152	11.855519	6.339882	0.011605	37.0
130	-0.160699	10.976074	6.514249	0.011209	36.8
131	-0.166147	11.975926	6.316733	0.011983	27.1
132	-0.164608	11.108921	6.487297	0.007809	26.9
133	-0.167390	10.793089	6.551742	0.011117	29.7
134	-0.163690	11.527886	6.403740	0.012058	31.4
135	-0.163632	10.848684	6.540305	0.007677	29.6
136	-0.167806	9.968325	6.726231	0.007365	25.0
137	-0.167104	10.219132	6.672194	0.012788	34.8
138	-0.160549	10.909756	6.527788	0.006316	16.1
139	-0.163033	10.084903	6.701006	0.007910	25.4
140	-0.163678	9.215011	6.893928	0.010320	26.7
141	-0.166602	10.078958	6.702288	0.011326	15.6
142	-0.160328	11.051072	6.499006	0.015348	14.7
143	-0.166914	10.170695	6.682562	0.008763	48.1
144	-0.162980	11.170695	6.474840	0.011303	21.3
145	-0.163899	12.170230	6.279731	0.008805	32.8
146	-0.164242	11.916310	6.328173	0.011987	34.4
147	-0.171783	11.039511	6.501351	0.008582	10.6
148	-0.164321	11.184856	6.471992	0.008170	15.5
149	-0.166859	11.127229	6.483600	0.008923	31.7
150	-0.167263	11.759028	6.358556	0.011375	25.1
151	-0.164358	10.878650	6.534157	0.011031	30.7
152	-0.168344	11.878610	6.335429	0.014312	39.8
153	-0.159843	12.630240	6.193834	0.010915	15.0
154	-0.162990	13.630240	6.014978	0.008360	19.7
155	-0.163710	13.007719	6.125083	0.008743	35.8
156	-0.166180	13.522353	6.033775	0.008349	10.3
157	-0.169447	14.515821	5.864995	0.007163	18.6
158	-0.170742	14.843832	5.811324	0.008842	38.3
159	-0.168264	15.254349	5.745521	0.012889	19.7
160	-0.164795	16.252127	5.591630	0.010147	32.6
161	-0.169339	15.376716	5.726193	0.009701	31.1
162	-0.160876	14.590444	5.852698	0.011468	23.7
163	-0.166995	15.114439	5.767779	0.016332	43.9
164	-0.164230	16.113894	5.612456	0.011323	16.8
165	-0.165372	17.113894	5.465202	0.010248	16.8
166	-0.166016	18.098924	5.327515	0.010949	68.3
167	-0.161566	19.091884	5.195568	0.009271	13.2
168	-0.165082	20.091397	5.069190	0.011203	17.2
169	-0.162954	20.874806	4.974354	0.008738	29.4
170	-0.160324	21.871617	4.858695	0.010275	30.1
171	-0.171727	22.392550	4.800366	0.012433	23.7
172	-0.165704	21.917159	4.853539	0.009706	38.2
173	-0.163095	22.401592	4.799366	0.006916	23.9
174	-0.169274	21.525879	4.898197	0.010013	21.4
175	-0.159593	20.680953	4.997489	0.010377	34.1
176	-0.157188	21.679005	4.880623	0.011344	19.1
177	-0.159167	20.923332	4.968596	0.007607	17.1
178	-0.168698	20.044310	5.075006	0.007179	33.3
179	-0.167630	19.409398	5.154744	0.010228	38.2
180	-0.166601	18.752819	5.239883	0.008954	24.7
181	-0.162057	19.752383	5.111360	0.014730	36.0
182	-0.169003	19.168868	5.185611	0.012167	25.7
183	-0.164196	20.168853	5.059653	0.008099	16.6
184	-0.163969	21.161230	4.940561	0.007067	38.6
185	-0.163519	20.741107	4.990287	0.014451	24.5
186	-0.164147	19.904749	5.092321	0.010684	22.7
187	-0.163848	19.863449	5.097468	0.015830	32.0
188	-0.164162	20.863449	4.975704	0.010441	14.9
189	-0.162292	21.860509	4.859954	0.016971	11.9
190	-0.166922	22.731948	4.763111	0.007879	36.2
191	-0.159125	21.853707	4.860726	0.014400	30.1
192	-0.161324	22.853398	4.749920	0.011114	25.6
193	-0.161521	23.853398	4.644021	0.015126	44.8
194	-0.169377	22.972996	4.737001	0.013199	18.0
195	-0.158333	22.093126	4.833720	0.009771	24.1
196	-0.162759	21.212796	4.934525	0.008311	19.0
197	-0.162206	20.768690	4.986992	0.010116	14.8
198	-0.160111	19.889314	5.094243	0.008614	31.5
199	-0.166113	20.865784	4.975426	0.009672	37.4
200	-0.174621	21.785585	4.868465	0.010717	17.3
201	-0.171187	22.321250	4.808266	0.012023	30.0
202	-0.166489	23.017584	4.732202	0.006611	33.9
203	-0.160682	22.266223	4.814382	0.015722	17.3
204	-0.159784	23.237174	4.708712	0.010472	31.8
205	-0.164769	22.356784	4.804326	0.009533	29.3
206	-0.168032	23.280223	4.704134	0.009273	24.4
207	-0.156337	22.449402	4.794085	0.011928	41.8
208	-0.163341	23.448953	4.686277	0.012270	17.7
209	-0.164858	22.571664	4.780633	0.009523	15.2
210	-0.172090	21.691293	4.879218	0.007195	47.9
211	-0.166695	22.678445	4.768945	0.014886	13.4
212	-0.163381	22.504236	4.788042	0.011480	23.5
213	-0.165269	23.313996	4.700549	0.014288	61.4
214	-0.165528	24.313800	4.596836	0.007785	20.3
215	-0.160077	25.132996	4.515209	0.006756	52.9
216	-0.165260	24.308085	4.597416	0.008860	25.2
217	-0.166293	25.127349	4.515762	0.007601	18.4
218	-0.160732	25.051054	4.523243	0.014299	43.7
219	-0.169017	26.050896	4.427123	0.010080	21.9
220	-0.165656	27.026409	4.337199	0.009965	11.2
221	-0.164224	26.204686	4.412700	0.012304	26.6
222	-0.169632	26.783124	4.359282	0.011782	23.7
223	-0.164669	25.903881	4.441000	0.014686	25.3
224	-0.167655	26.903877	4.348293	0.011727	33.1
225	-0.167815	27.903654	4.259398	0.007666	30.9
226	-0.171149	27.024329	4.337387	0.013521	16.6
227	-0.163779	26.143934	4.418386	0.013259	14.5
228	-0.164775	27.074217	4.332886	0.011509	28.2
229	-0.168758	26.260538	4.407485	0.009660	28.1
230	-0.162128	26.624867	4.373768	0.008909	46.8
231	-0.166450	27.023725	4.337442	0.009191	38.8
232	-0.166248	26.169533	4.415988	0.008390	33.2
233	-0.166712	25.808703	4.450030	0.014005	33.0
234	-0.163411	26.735746	4.363609	0.013881	19.8
235	-0.162149	25.855870	4.445550	0.011497	44.2
236	-0.164559	24.976797	4.530549	0.011582	16.5
237	-0.164672	24.102911	4.618330	0.012752	23.8
238	-0.166941	23.891547	4.640074	0.009799	28.6
239	-0.166019	24.076559	4.621030	0.008834	18.4
240	-0.165733	23.376238	4.693956	0.008031	12.9
241	-0.170458	24.247954	4.603526	0.011267	17.0
242	-0.167383	25.233938	4.505351	0.011543	45.5
243	-0.169578	24.357489	4.592408	0.009339	13.0
244	-0.163840	25.357327	4.493359	0.012643	24.4
245	-0.162705	26.357323	4.398477	0.008438	26.6
246	-0.163528	25.479947	4.481505	0.010141	14.9
247	-0.164884	26.455437	4.389384	0.013962	22.2
248	-0.162251	25.575038	4.472355	0.009361	34.8
249	-0.166134	24.694636	4.558524	0.008555	19.5
250	-0.166057	25.663692	4.463858	0.010990	21.4
251	-0.165726	26.613143	4.374845	0.009934	50.3
252	-0.164348	27.606123	4.285471	0.012622	25.0
253	-0.173232	26.725993	4.364500	0.008424	40.2
254	-0.165048	27.709114	4.276409	0.008236	21.1
255	-0.163371	27.002934	4.339320	0.009448	45.0
256	-0.167071	27.297665	4.312840	0.009109	21.3
257	-0.163990	26.437577	4.391036	0.012479	12.5
258	-0.165425	25.557175	4.474071	0.009589	29.1
259	-0.170096	26.554950	4.380198	0.010990	29.8
260	-0.163874	25.833384	4.447684	0.011070	42.0
261	-0.170153	26.833298	4.354709	0.008040	14.3
262	-0.165564	25.956695	4.436005	0.016053	14.3
263	-0.164418	25.095778	4.518854	0.011245	51.1
264	-0.166706	24.357245	4.592433	0.007312	11.2
265	-0.168515	25.356623	4.493427	0.010823	18.8
266	-0.162170	26.353388	4.398843	0.013122	31.8
267	-0.154652	27.353386	4.307870	0.009592	11.0
268	-0.167244	26.482353	4.386895	0.011503	22.6
269	-0.169976	26.011256	4.430856	0.015424	50.0
270	-0.161328	27.011256	4.338568	0.006370	11.2
271	-0.166057	27.168406	4.324414	0.010092	18.0
272	-0.168660	27.734061	4.274220	0.012843	42.8
273	-0.167197	28.733733	4.188306	0.015150	12.9
274	-0.168488	29.724031	4.106537	0.017330	20.7
275	-0.167101	28.853803	4.178219	0.012325	38.4
276	-0.160875	27.973402	4.253331	0.012642	11.6
277	-0.163339	27.093031	4.331191	0.010222	28.6
278	-0.165057	28.092689	4.242997	0.013471	27.2
279	-0.166331	29.091061	4.158429	0.010629	19.2
280	-0.164063	28.213351	4.232594	0.010520	16.8
281	-0.173215	29.213348	4.148302	0.008796	50.4
282	-0.164444	28.349474	4.220919	0.009090	13.9
283	-0.161149	29.341379	4.137751	0.009248	50.1
284	-0.162894	30.232702	4.065765	0.009874	19.3
285	-0.170756	29.396213	4.133249	0.010922	72.0
286	-0.166927	30.305544	4.059992	0.007658	25.4
287	-0.168161	29.729750	4.106074	0.014087	23.4
288	-0.166593	28.849349	4.178592	0.009599	38.3
289	-0.161726	29.849333	4.096418	0.010568	21.4
290	-0.162222	28.971120	4.168410	0.009239	52.6
291	-0.161375	29.963599	4.087233	0.010542	20.8
292	-0.165029	30.704770	4.028644	0.008770	18.7
293	-0.168347	31.526644	3.965609	0.015409	23.7
294	-0.160248	30.666675	4.031614	0.009572	14.4
295	-0.163503	29.791880	4.101051	0.013992	31.6
296	-0.162871	30.791714	4.021881	0.008378	38.3
297	-0.162969	30.040417	4.081082	0.011764	20.1
298	-0.166457	31.040338	4.002666	0.010809	18.1
299	-0.166595	32.022330	3.928536	0.010211	33.0
300	-0.164065	33.022093	3.855832	0.007960	12.0
301	-0.168905	32.207722	3.914847	0.012591	39.7
302	-0.163242	33.193907	3.843608	0.008109	30.9
303	-0.168716	34.183632	3.774672	0.012251	57.6
304	-0.165019	35.072500	3.714835	0.013506	17.8
305	-0.163490	34.361669	3.762533	0.010216	19.1
306	-0.164280	33.721995	3.806515	0.009268	40.2
307	-0.166116	34.549337	3.749822	0.012130	18.5
308	-0.161037	33.674030	3.809855	0.012361	20.1
309	-0.167744	32.793647	3.872207	0.009991	31.5
310	-0.162846	31.914275	3.936558	0.012217	17.4
311	-0.167711	32.908565	3.863952	0.014769	21.2
312	-0.167004	33.908565	3.793581	0.011607	35.0
313	-0.171145	33.041130	3.854474	0.017538	13.8
314	-0.161887	32.228058	3.913352	0.015880	32.8
315	-0.168949	31.347656	3.979168	0.011598	19.0
316	-0.164425	30.467261	4.047235	0.009818	18.9
317	-0.164487	31.024927	4.003852	0.009565	27.6
318	-0.168726	32.002339	3.930017	0.013153	14.7
319	-0.166619	32.761446	3.874526	0.013294	20.2
320	-0.169601	33.761380	3.803778	0.008701	36.4
321	-0.167877	32.961883	3.860134	0.005914	13.4
322	-0.163527	32.903203	3.864337	0.012522	13.8
323	-0.168479	32.256466	3.911264	0.008445	51.2
324	-0.164394	31.382817	3.976497	0.007426	15.5
325	-0.167929	32.315213	3.906955	0.009849	19.3
326	-0.171580	31.475397	3.969481	0.007896	44.6
327	-0.165322	30.729388	4.026727	0.010602	9.7
328	-0.161169	31.728642	3.950417	0.011303	29.0
329	-0.164412	30.849169	4.017424	0.006652	19.4
330	-0.166011	31.848150	3.941484	0.009854	20.2
331	-0.165783	32.845527	3.868476	0.011477	40.6
332	-0.166237	31.967770	3.932582	0.008715	13.6
333	-0.165107	32.913318	3.863611	0.011183	21.8
334	-0.168060	32.664232	3.881545	0.013267	37.0
335	-0.159548	33.663446	3.810592	0.014529	17.1
336	-0.161945	32.783044	3.872970	0.010288	21.3
337	-0.168563	33.783044	3.802273	0.013897	35.2
338	-0.160847	34.567780	3.748577	0.010132	12.2
339	-0.164964	35.558242	3.682931	0.012853	46.6
340	-0.167666	34.678611	3.741116	0.009441	13.5
341	-0.171457	34.149831	3.776986	0.010441	18.7
342	-0.163288	35.145066	3.710034	0.012509	24.8
343	-0.164816	34.436889	3.757428	0.014254	38.7
344	-0.169112	35.436889	3.690850	0.016956	22.5
345	-0.167804	36.435739	3.626664	0.013420	31.8
346	-0.170404	37.435603	3.564610	0.012838	19.4
347	-0.165002	38.435603	3.504635	0.013592	25.1
348	-0.167002	38.671888	3.490758	0.009935	43.9
349	-0.163821	39.671884	3.433223	0.007286	14.3
350	-0.161276	38.861671	3.479691	0.011038	31.2
351	-0.165294	37.981537	3.531616	0.006839	24.6
352	-0.166643	37.326037	3.571306	0.013965	32.1
353	-0.167093	38.325978	3.511111	0.011673	33.2
354	-0.166958	37.549304	3.557687	0.009647	27.6
355	-0.168051	38.532464	3.498933	0.014076	35.0
356	-0.175237	38.080578	3.525695	0.009710	16.2
357	-0.167201	39.074909	3.467340	0.011128	19.9
358	-0.167913	39.985928	3.415544	0.011157	45.3
359	-0.169298	39.112296	3.465183	0.010707	14.7
360	-0.161184	38.231894	3.516688	0.010496	27.0
361	-0.169118	39.231631	3.458318	0.008217	30.3
362	-0.166177	40.064853	3.411129	0.013715	10.3
