1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
0	-0.347207	-0.347208	0.000000	0.000000	2071.624739	0.001244	0.000000	0.001244	57.8	159.8	1353.4
1	-0.356939	-0.356940	0.000000	0.000000	2071.624739	0.001676	0.000000	0.001676	57.6	191.3	250.1
2	-0.357992	-0.357993	0.000000	0.000000	2071.624739	0.001266	0.000000	0.001266	55.2	137.8	194.2
3	-0.355150	-0.355151	0.000000	0.000000	2071.624739	0.000768	0.000000	0.000768	81.0	160.2	243.6
4	-0.348884	-0.348885	0.000000	0.000000	2071.624739	0.000987	0.000000	0.000987	55.2	89.1	146.5
5	-0.355054	-0.355055	0.000000	0.000000	2071.624739	0.000910	0.000000	0.000910	94.8	111.3	207.3
6	-0.361130	-0.361130	0.000000	0.955166	1981.498066	0.001091	0.000000	0.001091	50.7	156.0	208.6
7	-0.361813	-0.361814	0.000000	1.955161	1895.178148	0.000977	0.000000	0.000977	35.1	130.2	166.5
8	-0.360525	-0.360526	0.000000	2.909162	1819.558488	0.001438	0.000000	0.001438	74.3	139.2	214.7
9	-0.359182	-0.359183	0.000000	2.520696	1849.610191	0.001508	0.000000	0.001508	66.8	104.3	172.3
10	-0.357069	-0.357070	0.000000	3.520696	1774.179617	0.002001	0.000000	0.002001	69.4	125.2	196.1
11	-0.359149	-0.359150	0.000000	3.132230	1802.739299	0.001240	0.000000	0.001240	62.9	133.6	197.8
12	-0.360265	-0.360266	0.000000	2.743769	1832.233107	0.001517	0.000000	0.001517	71.5	147.7	220.4
13	-0.359771	-0.359772	0.000000	3.743769	1758.184844	0.001285	0.000000	0.001285	60.1	174.1	235.8
14	-0.359312	-0.359313	0.000000	4.743769	1689.889295	0.001529	0.000000	0.001529	48.7	173.1	223.0
15	-0.355471	-0.355472	0.000000	4.355303	1715.779929	0.001315	0.000000	0.001315	89.2	96.1	186.6
16	-0.354085	-0.354087	0.000000	3.966837	1742.476243	0.001321	0.000000	0.001321	53.2	139.6	194.0
17	-0.358498	-0.358499	0.000000	3.578370	1770.016439	0.001253	0.000000	0.001253	53.5	81.9	137.0
18	-0.363983	-0.363984	0.000000	3.190325	1798.409867	0.001274	0.000000	0.001274	77.5	164.2	242.9
19	-0.364096	-0.364098	0.000000	2.801859	1827.761417	0.001578	0.000000	0.001578	75.9	203.9	281.0
20	-0.370774	-0.370775	0.000000	2.413441	1858.083102	0.002001	0.000000	0.002001	76.7	126.9	204.8
21	-0.358917	-0.358919	0.000000	3.413441	1781.974082	0.002036	0.000000	0.002036	71.5	104.8	181.8
22	-0.370531	-0.370532	0.000000	4.413441	1711.854728	0.001681	0.000000	0.001681	57.8	147.8	206.8
23	-0.368586	-0.368588	0.000000	5.413441	1647.044743	0.000918	0.000000	0.000918	45.3	142.5	189.2
24	-0.363263	-0.363264	0.000000	5.025260	1671.611312	0.001606	0.000000	0.001606	35.5	149.4	186.5
25	-0.373749	-0.373750	0.000000	6.025260	1609.757650	0.002301	0.000000	0.002301	56.4	171.0	228.5
26	-0.364496	-0.364497	0.000000	7.025260	1552.318125	0.001945	0.000000	0.001945	34.0	179.2	214.4
27	-0.365733	-0.365735	0.000000	8.025260	1498.836498	0.001392	0.000000	0.001392	30.3	188.9	220.7
28	-0.367845	-0.367846	0.000000	9.025260	1448.917314	0.001236	0.000000	0.001236	56.3	146.9	204.4
29	-0.360985	-0.360986	0.000000	10.022799	1402.327345	0.001274	0.000000	0.001274	75.3	167.1	244.0
