1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.297810	0.000000	2.025181	0.044934	5788.1
1	-0.296908	0.000000	2.025181	0.032980	10.4
2	-0.299109	0.000000	2.025181	0.066569	13.7
3	-0.299574	0.943766	1.938081	0.048263	11.0
4	-0.302091	1.920949	1.855456	0.047259	10.7
5	-0.302659	2.920826	1.777899	0.046141	11.8
6	-0.295872	1.992123	1.849712	0.061118	13.8
7	-0.295536	1.078272	1.926274	0.048300	10.5
8	-0.294658	2.078272	1.842807	0.053902	11.4
9	-0.302490	3.073924	1.766592	0.063566	10.7
10	-0.306762	4.053933	1.697490	0.020214	7.9
11	-0.296002	3.133593	1.762224	0.031504	9.5
12	-0.299378	3.087047	1.765630	0.064037	12.3
13	-0.289076	2.337620	1.822328	0.038740	9.5
14	-0.298061	3.304301	1.749847	0.041486	10.7
15	-0.303002	4.125995	1.692622	0.032109	11.2
16	-0.301559	5.068798	1.631406	0.042188	8.7
17	-0.299649	4.140844	1.691622	0.043048	11.0
18	-0.300332	3.437659	1.740298	0.060826	10.5
19	-0.296561	4.174304	1.689374	0.058211	10.3
20	-0.292929	5.174302	1.624830	0.071044	12.1
21	-0.307001	6.171335	1.565208	0.028389	10.1
22	-0.297025	7.170091	1.509715	0.051963	12.7
23	-0.294168	6.283910	1.558750	0.041826	9.3
24	-0.302858	7.283892	1.503640	0.030089	11.6
25	-0.300720	6.764078	1.531792	0.054294	11.2
26	-0.301002	6.167039	1.565456	0.074497	11.2
27	-0.296396	7.167039	1.509878	0.048538	10.2
28	-0.295048	6.238333	1.561358	0.030102	10.7
29	-0.299367	6.070965	1.571012	0.060592	10.8
30	-0.291222	5.142295	1.626820	0.038357	11.0
31	-0.297504	6.140976	1.566959	0.038861	10.6
32	-0.298975	5.996734	1.575331	0.042318	11.0
33	-0.303136	6.993306	1.519249	0.051584	12.2
34	-0.301326	6.095323	1.569599	0.037711	12.0
35	-0.308018	7.090721	1.513980	0.069589	9.2
36	-0.303326	6.162281	1.565730	0.045602	9.8
37	-0.304106	5.233698	1.621152	0.027764	10.7
38	-0.299185	4.305981	1.680583	0.039194	11.2
39	-0.303675	3.587287	1.729707	0.020726	12.8
40	-0.285736	2.813473	1.785914	0.070111	10.6
41	-0.290896	3.741641	1.718916	0.040293	12.8
42	-0.303870	2.813912	1.785881	0.048845	12.5
43	-0.295084	2.797331	1.787125	0.024925	14.6
44	-0.288305	3.705534	1.721428	0.067225	9.6
45	-0.293597	3.934134	1.705646	0.016892	11.3
46	-0.300966	4.890784	1.642623	0.059159	10.7
47	-0.304421	5.758576	1.589352	0.031442	10.5
48	-0.303981	6.758391	1.532106	0.063544	12.1
49	-0.306468	6.197133	1.563724	0.084175	10.1
50	-0.306549	5.964978	1.577187	0.020110	10.6
51	-0.295027	5.073148	1.631134	0.067570	8.0
52	-0.301404	5.801704	1.586795	0.075035	11.2
53	-0.306683	4.872997	1.643752	0.068660	11.8
54	-0.301818	3.944291	1.704951	0.074764	11.3
55	-0.303415	4.944291	1.639235	0.063751	9.1
56	-0.297602	5.944291	1.578398	0.027950	12.5
57	-0.292572	5.015595	1.634743	0.042750	9.4
58	-0.302810	4.087758	1.695201	0.076082	8.5
59	-0.299097	5.087758	1.630221	0.096459	14.2
60	-0.295818	6.087757	1.570038	0.049990	15.0
61	-0.309651	7.087757	1.514140	0.060778	11.2
62	-0.300202	6.160482	1.565834	0.049356	9.3
63	-0.311424	5.239001	1.620824	0.049156	10.8
64	-0.302531	5.576385	1.600248	0.038673	17.5
65	-0.295200	5.840411	1.584506	0.066322	10.3
66	-0.307881	4.912110	1.641271	0.035941	10.0
67	-0.291204	5.903982	1.580762	0.040781	11.0
68	-0.295303	6.903804	1.524122	0.047905	12.5
69	-0.291473	7.844092	1.474437	0.046491	11.3
70	-0.300981	8.830288	1.425692	0.052639	9.9
71	-0.302016	9.004846	1.417398	0.032946	11.3
72	-0.294694	9.304095	1.403401	0.028498	13.0
73	-0.292920	8.985262	1.418324	0.052958	11.5
74	-0.306248	9.890528	1.376759	0.036890	11.9
75	-0.299059	9.012033	1.417058	0.052266	11.6
76	-0.310157	10.003880	1.371725	0.066490	9.8
77	-0.291528	10.997261	1.329139	0.063348	10.6
78	-0.298712	11.997261	1.288859	0.029263	11.9
79	-0.294514	11.120434	1.324042	0.050985	8.0
80	-0.313564	11.980807	1.289502	0.048974	7.1
81	-0.298563	12.980795	1.251554	0.033411	8.1
82	-0.295356	12.227789	1.279917	0.073491	10.6
83	-0.307615	13.227766	1.242523	0.049981	8.7
84	-0.310900	12.299061	1.277177	0.038315	10.4
85	-0.282554	13.295529	1.240068	0.051592	8.7
86	-0.294056	14.288397	1.205178	0.057888	8.0
87	-0.294232	13.359692	1.237753	0.044448	11.7
88	-0.293738	12.493374	1.269768	0.063883	12.2
89	-0.296515	13.457347	1.234245	0.045844	10.7
90	-0.305267	12.528641	1.268432	0.079377	11.5
91	-0.309399	12.814281	1.257717	0.061704	12.3
92	-0.294233	11.885575	1.293236	0.045048	10.0
93	-0.295450	11.378811	1.313476	0.034322	8.3
94	-0.300693	10.475240	1.351183	0.043917	9.6
95	-0.300615	10.740198	1.339904	0.067671	9.1
96	-0.304040	11.701376	1.300520	0.067377	11.0
97	-0.294908	12.320594	1.276352	0.043050	10.6
98	-0.302136	11.408384	1.312278	0.054002	9.7
99	-0.297957	10.479687	1.350992	0.059394	9.5
100	-0.301944	9.552418	1.391995	0.076520	9.4
101	-0.295778	8.623716	1.435634	0.041785	9.4
102	-0.292283	9.623690	1.388755	0.036580	8.7
