1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
0	-0.332363	-0.332374	0.000002	0.000000	672.226297	0.009684	0.000000	0.009684	60.0	126.9	11084.4
1	-0.333811	-0.333824	0.000003	0.000000	672.226297	0.011512	0.000000	0.011512	56.0	97.1	155.4
2	-0.338265	-0.338280	0.000003	0.000000	672.226297	0.009899	0.000000	0.009899	48.9	98.1	149.9
3	-0.332562	-0.332577	0.000003	0.000000	672.226297	0.010163	0.000000	0.010163	67.4	157.9	228.8
4	-0.344127	-0.344143	0.000003	0.000000	672.226297	0.010016	0.000000	0.010016	31.0	127.2	161.7
5	-0.340892	-0.340909	0.000003	1.000000	641.670557	0.011189	0.000000	0.011189	63.3	124.9	191.2
6	-0.333617	-0.333635	0.000003	2.000000	613.771837	0.009721	0.000000	0.009721	31.7	144.5	178.8
7	-0.339237	-0.339255	0.000004	3.000000	588.198010	0.011276	0.000000	0.011276	61.8	128.3	192.7
8	-0.340958	-0.340977	0.000004	3.997860	564.718419	0.009926	0.000000	0.009926	60.9	92.8	156.5
9	-0.338708	-0.338727	0.000004	4.997794	542.998082	0.010488	0.000000	0.010488	58.9	106.7	169.9
10	-0.348739	-0.348759	0.000004	5.979393	523.242019	0.008804	0.000000	0.008804	50.8	119.2	172.8
11	-0.344623	-0.344643	0.000004	5.103293	540.803494	0.011649	0.000000	0.011649	60.9	106.9	170.2
12	-0.339163	-0.339183	0.000004	6.103289	520.850156	0.010050	0.000000	0.010050	37.3	106.2	146.5
13	-0.330235	-0.330256	0.000004	5.202880	538.748118	0.010593	0.000000	0.010593	24.1	135.1	167.7
14	-0.331094	-0.331115	0.000004	4.302471	557.919913	0.010023	0.000000	0.010023	85.6	102.4	191.7
15	-0.349142	-0.349163	0.000004	3.402062	578.506524	0.008793	0.000000	0.008793	81.1	83.5	167.4
16	-0.335448	-0.335470	0.000004	2.739136	594.661579	0.009833	0.000000	0.009833	71.7	91.9	166.1
17	-0.344450	-0.344472	0.000004	3.739134	570.624339	0.010956	0.000000	0.010956	67.3	118.7	188.7
18	-0.335767	-0.335790	0.000005	2.838725	592.177313	0.009406	0.000000	0.009406	41.5	106.4	150.5
19	-0.334585	-0.334607	0.000004	1.949887	615.112064	0.010928	0.000000	0.010928	79.3	132.1	214.6
20	-0.345174	-0.345197	0.000005	1.595233	624.766827	0.011057	0.000000	0.011057	60.7	122.1	185.8
21	-0.348921	-0.348945	0.000005	0.694824	650.696779	0.010314	0.000000	0.010314	49.1	107.4	159.5
22	-0.334185	-0.334209	0.000005	1.694824	622.025197	0.010370	0.000000	0.010370	43.1	114.5	160.5
23	-0.340191	-0.340215	0.000005	2.617596	597.721821	0.009363	0.000000	0.009363	70.4	148.5	221.9
24	-0.338901	-0.338927	0.000005	1.717186	621.412883	0.008755	0.000000	0.008755	66.4	97.8	167.0
25	-0.343674	-0.343700	0.000005	2.717186	595.211932	0.009945	0.000000	0.009945	52.2	99.7	154.7
26	-0.346242	-0.346269	0.000005	1.823724	618.512218	0.011065	0.000000	0.011065	47.0	114.2	167.9
27	-0.333643	-0.333671	0.000006	2.823722	592.550243	0.010208	0.000000	0.010208	73.4	90.9	167.5
28	-0.343415	-0.343443	0.000006	3.823722	568.679921	0.010002	0.000000	0.010002	75.2	89.4	167.6
29	-0.342944	-0.342972	0.000006	2.923313	590.083506	0.009906	0.000000	0.009906	84.3	99.5	186.9
30	-0.329331	-0.329360	0.000006	2.022904	613.161246	0.010725	0.000000	0.010725	55.6	106.5	164.9
31	-0.334645	-0.334675	0.000006	3.022904	587.637219	0.010362	0.000000	0.010362	74.7	124.0	202.9
32	-0.337091	-0.337122	0.000006	4.022709	564.157636	0.009045	0.000000	0.009045	79.2	111.2	193.4
33	-0.333021	-0.333052	0.000006	5.022709	542.478200	0.009842	0.000000	0.009842	41.2	110.3	154.1
34	-0.332856	-0.332887	0.000006	6.022709	522.403299	0.010499	0.000000	0.010499	45.0	132.6	180.3
35	-0.330825	-0.330856	0.000006	5.241696	537.951223	0.008627	0.000000	0.008627	82.4	119.5	204.6
36	-0.343105	-0.343138	0.000006	4.341286	557.065338	0.010172	0.000000	0.010172	70.0	133.2	206.2
37	-0.335828	-0.335861	0.000007	3.473247	576.823840	0.010132	0.000000	0.010132	31.8	95.4	139.7
38	-0.342451	-0.342484	0.000007	2.572838	598.856721	0.009826	0.000000	0.009826	46.8	96.1	145.5
