1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.507477	0.000000	19.525387	0.017500	114.2
1	-0.515134	0.000000	19.525387	0.015676	8.3
2	-0.510746	0.000000	19.525387	0.015709	12.6
3	-0.515393	0.000000	19.525387	0.012337	12.4
4	-0.519184	1.000000	18.637870	0.007039	9.4
5	-0.522744	0.925988	18.700783	0.013519	11.0
6	-0.518146	0.851974	18.764124	0.016819	16.0
7	-0.518651	0.777959	18.827895	0.016160	11.2
8	-0.523827	0.703945	18.892101	0.016089	14.9
9	-0.519677	1.703945	18.059995	0.021343	15.4
10	-0.521384	2.703945	17.298096	0.020814	10.5
11	-0.531812	3.703945	16.597881	0.015762	7.9
12	-0.526049	4.703945	15.952148	0.010904	13.6
13	-0.531071	4.629931	15.998214	0.019455	11.6
14	-0.530952	5.629931	15.397454	0.025693	12.7
15	-0.526713	6.629931	14.840179	0.026072	13.4
16	-0.526174	7.629931	14.321834	0.019398	9.6
17	-0.534621	8.629931	13.838477	0.015244	9.8
18	-0.533596	9.629931	13.386681	0.008951	11.5
19	-0.529277	10.629931	12.963453	0.010110	8.3
20	-0.519152	11.629931	12.566166	0.014510	16.1
21	-0.529807	12.629931	12.192506	0.016584	12.1
22	-0.531719	13.629931	11.840426	0.018656	12.6
23	-0.535694	14.629931	11.508109	0.020925	9.2
24	-0.536805	15.629931	11.193937	0.018284	15.7
25	-0.531460	16.629931	10.896462	0.015872	16.7
26	-0.531442	17.629931	10.614389	0.019096	10.9
27	-0.527800	18.629931	10.346552	0.026960	11.1
28	-0.527813	19.629931	10.091898	0.025058	16.0
29	-0.537693	20.629931	9.849479	0.020553	11.9
30	-0.534300	21.629931	9.618433	0.019218	12.0
31	-0.536739	22.629931	9.397978	0.015234	12.1
32	-0.526422	23.629931	9.187402	0.010244	11.8
33	-0.531097	24.629931	8.986056	0.013300	9.5
34	-0.534349	25.629931	8.793346	0.019166	11.7
35	-0.522512	26.629931	8.608728	0.015246	8.6
36	-0.536686	27.629931	8.431703	0.007449	10.0
37	-0.536434	27.555945	8.444551	0.010701	7.9
38	-0.545938	28.555945	8.274146	0.011321	13.7
39	-0.533936	29.555945	8.110483	0.009763	8.7
40	-0.535643	30.555945	7.953169	0.006110	8.3
41	-0.530499	30.482010	7.964591	0.009172	10.1
42	-0.538312	30.450140	7.969524	0.006846	13.5
43	-0.537395	30.726854	7.926891	0.012504	14.9
44	-0.531499	31.726854	7.776552	0.013651	12.8
45	-0.543102	32.726854	7.631810	0.016132	14.9
46	-0.543061	33.726854	7.492357	0.016093	9.7
47	-0.538829	34.726854	7.357909	0.012704	11.3
48	-0.543514	35.726854	7.228202	0.021523	11.1
49	-0.536807	36.726854	7.102988	0.021679	11.4
50	-0.533409	37.726854	6.982038	0.022482	15.5
51	-0.535988	38.726854	6.865139	0.021350	11.7
52	-0.543305	39.726854	6.752089	0.012926	16.6
53	-0.543474	40.726854	6.642703	0.009408	12.0
54	-0.537778	41.726854	6.536804	0.011327	12.6
55	-0.529865	42.726854	6.434228	0.015983	13.3
56	-0.535374	43.726853	6.334823	0.011762	14.0
57	-0.534299	44.726853	6.238442	0.012963	13.0
58	-0.534079	44.652839	6.245474	0.011733	13.8
59	-0.534742	45.652839	6.151773	0.008816	12.6
60	-0.543059	45.578825	6.158612	0.012578	11.2
61	-0.538117	46.578825	6.067479	0.011628	8.2
62	-0.537474	47.578825	5.979005	0.009637	7.9
63	-0.534749	47.504811	5.985465	0.008915	11.0
64	-0.536937	47.430797	5.991939	0.007764	10.3
65	-0.536439	48.430797	5.905638	0.009091	19.9
66	-0.536992	49.430797	5.821788	0.010391	27.5
67	-0.525907	50.430797	5.740285	0.010380	13.2
68	-0.543043	50.356782	5.746239	0.008744	15.1
69	-0.543501	50.282768	5.752206	0.009217	13.6
70	-0.536240	50.208754	5.758184	0.011895	10.3
71	-0.546558	50.134740	5.764176	0.012963	13.2
72	-0.535610	50.060726	5.770179	0.012922	16.5
73	-0.541816	49.986712	5.776196	0.015371	13.0
74	-0.540011	49.912698	5.782224	0.017172	17.1
75	-0.548334	49.838683	5.788266	0.018336	16.1
76	-0.541909	49.764669	5.794320	0.009160	15.9
77	-0.545872	50.764669	5.713579	0.006246	17.0
78	-0.542059	50.691933	5.719376	0.009769	11.1
79	-0.543066	51.691789	5.640708	0.009198	14.2
80	-0.547111	52.649411	5.567365	0.010462	11.9
81	-0.539924	53.649411	5.492785	0.007547	13.7
82	-0.542088	54.649411	5.420176	0.008487	13.5
83	-0.546313	55.649411	5.349462	0.013113	13.1
84	-0.543684	56.649411	5.280570	0.013285	12.6
85	-0.543958	57.649411	5.213429	0.011369	11.0
86	-0.533167	58.649411	5.147974	0.007134	12.6
87	-0.540600	59.649411	5.084143	0.005998	17.2
88	-0.541720	59.704963	5.080643	0.005066	13.3
89	-0.547394	59.823932	5.073165	0.006998	10.9
90	-0.538944	59.749918	5.077815	0.006211	16.7
91	-0.543126	60.749918	5.015701	0.005892	13.2
92	-0.542848	60.675904	5.020246	0.006445	15.2
93	-0.545443	60.601890	5.024799	0.009203	17.7
94	-0.540761	60.800165	5.012620	0.005336	11.1
95	-0.540783	60.726151	5.017159	0.007558	19.2
96	-0.545924	61.726143	4.956512	0.006819	13.1
97	-0.554366	62.725689	4.897340	0.004764	11.4
98	-0.543278	63.725496	4.839548	0.006523	12.4
99	-0.542099	64.384918	4.802173	0.010166	24.0
100	-0.538048	65.384918	4.746582	0.010090	22.1
101	-0.538006	66.384918	4.692264	0.011751	7.2
102	-0.549188	66.310904	4.696242	0.009054	8.3
103	-0.537580	67.310904	4.643063	0.008369	15.5
104	-0.539157	67.251413	4.646193	0.009977	20.7
105	-0.545501	68.251413	4.594136	0.005438	10.6
106	-0.546418	69.251413	4.543232	0.008510	11.6
107	-0.550563	69.177399	4.546961	0.005444	10.7
108	-0.550785	70.177399	4.497092	0.009212	13.9
109	-0.545124	71.177396	4.448305	0.005278	17.1
110	-0.548497	72.160433	4.401366	0.006448	16.9
111	-0.531681	73.160433	4.354622	0.007269	21.0
112	-0.554868	74.159332	4.308911	0.009136	13.8
113	-0.549307	74.085317	4.312265	0.007735	10.3
114	-0.543312	75.085317	4.267386	0.006647	16.3
115	-0.549023	75.011303	4.270676	0.006136	11.6
116	-0.539142	74.938739	4.273906	0.005389	16.9
117	-0.551048	74.864727	4.277205	0.008586	15.5
118	-0.553432	75.864727	4.233049	0.007403	14.1
119	-0.541479	76.864726	4.189795	0.005314	12.9
120	-0.537081	77.864726	4.147416	0.006238	16.0
121	-0.542924	77.790712	4.150523	0.011626	13.1
122	-0.543914	77.716850	4.153629	0.012478	12.3
123	-0.544437	78.716850	4.111974	0.010265	10.3
124	-0.546234	79.716850	4.071147	0.008355	14.3
125	-0.547282	80.716850	4.031123	0.010075	10.2
126	-0.546485	81.716850	3.991878	0.006327	12.0
127	-0.547354	82.274418	3.970326	0.007458	11.2
128	-0.538945	82.200404	3.973174	0.006226	7.1
129	-0.548951	82.126390	3.976025	0.006483	11.0
130	-0.543760	82.055448	3.978762	0.006028	12.2
131	-0.550308	82.694963	3.954224	0.009917	12.6
132	-0.543106	83.694963	3.916455	0.008020	13.6
133	-0.537467	83.620949	3.919226	0.008095	13.7
134	-0.547826	84.620949	3.882119	0.009369	15.3
135	-0.549208	84.546935	3.884842	0.008989	11.6
136	-0.547151	85.546935	3.848380	0.005941	13.7
137	-0.549423	85.472920	3.851056	0.007779	9.8
138	-0.543350	86.472920	3.815223	0.010188	16.1
139	-0.545737	87.472920	3.780051	0.005952	11.3
140	-0.545450	87.398906	3.782632	0.007709	12.1
141	-0.534863	87.324892	3.785216	0.007419	11.8
142	-0.540977	87.250878	3.787804	0.006271	10.1
143	-0.545435	87.176864	3.790396	0.008201	10.9
144	-0.536303	87.102850	3.792991	0.004610	9.7
145	-0.554092	88.098811	3.758365	0.002763	19.2
146	-0.541706	88.028507	3.760788	0.008716	12.0
147	-0.543601	87.963791	3.763022	0.007437	15.4
148	-0.537220	87.889777	3.765580	0.008859	13.5
149	-0.543354	88.889777	3.731313	0.004092	14.8
150	-0.548378	89.330153	3.716420	0.003207	12.0
151	-0.545835	89.257646	3.718863	0.006120	11.0
152	-0.546589	89.266832	3.718554	0.006116	9.5
153	-0.543963	90.266575	3.685142	0.005006	11.0
154	-0.536623	90.193722	3.687556	0.005405	8.1
155	-0.542143	91.190520	3.654793	0.006004	7.0
156	-0.545909	92.190514	3.622504	0.006939	13.9
157	-0.553488	92.165591	3.623302	0.008275	16.9
158	-0.554480	92.091577	3.625673	0.011113	15.4
159	-0.542304	93.091577	3.593895	0.006851	14.2
160	-0.548463	94.091577	3.562668	0.007093	13.1
161	-0.556113	95.087773	3.532096	0.009544	17.1
162	-0.544271	96.087773	3.501930	0.010012	9.8
163	-0.543907	97.087773	3.472274	0.004524	16.6
164	-0.549950	98.087773	3.443117	0.008522	13.1
165	-0.538937	99.087773	3.414445	0.008688	16.6
166	-0.548028	100.087773	3.386247	0.009543	14.6
167	-0.545653	101.087773	3.358511	0.007941	13.8
168	-0.546521	102.087773	3.331226	0.005095	14.5
169	-0.545545	103.044483	3.305533	0.009382	16.4
170	-0.543099	102.971070	3.307490	0.006525	13.3
171	-0.542643	102.924001	3.308747	0.004068	13.3
172	-0.542426	102.850003	3.310724	0.008441	13.7
173	-0.545178	102.776078	3.312701	0.009212	11.2
174	-0.536642	103.776078	3.286152	0.006455	10.3
175	-0.536568	104.560027	3.265634	0.013433	7.1
176	-0.552748	104.486012	3.267560	0.005374	11.9
177	-0.546759	105.486012	3.241727	0.007957	10.0
178	-0.534614	105.412014	3.243625	0.005218	12.3
179	-0.543539	106.412014	3.218167	0.005306	10.7
180	-0.546547	107.391443	3.193617	0.006022	18.9
181	-0.544164	108.391439	3.168936	0.011216	9.9
182	-0.544854	109.386774	3.144745	0.010185	10.2
183	-0.552484	110.386774	3.120810	0.005816	18.7
184	-0.551514	110.312760	3.122569	0.005605	12.2
185	-0.547903	110.279289	3.123365	0.006007	13.9
186	-0.557812	110.205481	3.125122	0.008065	11.5
187	-0.547337	111.199776	3.101617	0.009320	10.3
188	-0.549154	111.847241	3.086501	0.010060	11.0
189	-0.542709	112.847241	3.063441	0.005083	10.4
190	-0.546401	112.777774	3.065032	0.009037	10.0
191	-0.530940	112.703760	3.066729	0.012716	13.8
192	-0.542213	113.703760	3.043962	0.008682	11.4
193	-0.546603	113.871801	3.040169	0.009538	13.6
194	-0.543903	114.871801	3.017794	0.006548	13.3
195	-0.545355	115.839017	2.996464	0.004963	13.6
196	-0.554435	116.838272	2.974741	0.004847	11.8
197	-0.553467	117.836786	2.953346	0.007059	12.2
198	-0.544187	118.836779	2.932227	0.005156	12.6
199	-0.535774	119.836670	2.911409	0.004743	11.7
200	-0.549080	119.762693	2.912939	0.004851	12.3
201	-0.542930	120.702520	2.893619	0.005951	13.7
202	-0.541984	121.702446	2.873343	0.004210	11.2
203	-0.542629	122.183232	2.863695	0.005398	11.9
204	-0.541241	122.109219	2.865176	0.006093	13.9
205	-0.545309	123.109218	2.845294	0.006833	12.7
206	-0.547481	124.109218	2.825686	0.006325	12.4
207	-0.544993	125.108456	2.806361	0.005565	11.5
208	-0.540942	125.034454	2.807784	0.008942	14.8
209	-0.554169	126.034454	2.788687	0.008758	14.9
210	-0.544172	127.034454	2.769849	0.007605	14.4
211	-0.543084	128.034454	2.751264	0.004316	13.1
212	-0.541790	129.034454	2.732926	0.010957	11.7
213	-0.540785	130.034426	2.714832	0.010002	10.6
214	-0.542534	131.034426	2.696976	0.006162	12.3
215	-0.546198	132.034426	2.679352	0.006809	9.1
216	-0.545109	131.960412	2.680649	0.004707	9.4
217	-0.541851	132.960412	2.663237	0.009999	11.6
218	-0.552496	133.960408	2.646051	0.007388	15.5
219	-0.537577	134.960408	2.629085	0.003589	14.3
220	-0.547937	134.886393	2.630333	0.008517	12.6
221	-0.541751	135.886393	2.613567	0.006239	15.6
222	-0.547220	135.818484	2.614699	0.014405	14.3
223	-0.549845	136.818484	2.598131	0.006099	15.2
224	-0.544979	137.818484	2.581772	0.009762	14.8
225	-0.541161	137.744471	2.582976	0.008601	11.4
226	-0.544770	138.744471	2.566806	0.007904	13.8
227	-0.544906	139.744461	2.550838	0.009780	11.9
228	-0.549397	140.744424	2.535068	0.008374	17.3
229	-0.548234	140.670960	2.536220	0.006031	15.0
230	-0.541602	141.668248	2.520671	0.007280	14.1
231	-0.546529	141.865760	2.517614	0.006842	15.2
232	-0.554096	141.791746	2.518759	0.010030	11.3
233	-0.545712	142.791746	2.503381	0.006128	14.8
234	-0.539588	143.791746	2.488190	0.012901	12.7
235	-0.543320	144.791746	2.473182	0.005935	15.7
236	-0.546443	145.791746	2.458354	0.004528	13.9
237	-0.541675	146.546767	2.447276	0.004996	10.2
238	-0.543622	146.565284	2.447005	0.005395	12.0
239	-0.540610	146.492134	2.448074	0.006830	8.8
240	-0.544957	146.485668	2.448168	0.005278	13.8
241	-0.550395	146.411889	2.449247	0.008657	12.1
242	-0.542324	147.411864	2.434705	0.005546	13.2
243	-0.544697	148.411864	2.420333	0.005222	14.2
244	-0.541134	148.340513	2.421353	0.008472	13.5
245	-0.549166	149.158557	2.409712	0.006098	16.0
246	-0.546652	150.158556	2.395633	0.007563	11.8
247	-0.543585	150.084542	2.396670	0.007423	18.7
248	-0.545510	151.084542	2.382742	0.008285	7.4
249	-0.539365	152.084542	2.368976	0.006047	15.2
250	-0.546317	153.084542	2.355368	0.007341	13.1
251	-0.535607	153.010528	2.356370	0.008924	13.4
252	-0.541454	152.936514	2.357372	0.009616	12.6
253	-0.540466	153.927468	2.344018	0.007685	10.9
254	-0.553168	154.927468	2.330694	0.005490	11.7
255	-0.547287	154.853454	2.331675	0.005703	12.9
